IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
-1,-1,-1,118.0,161.06075423728822,15.28575687349157,126.441,156.132,161.968,170.073,188.9
-1,-1,1,32.0,165.94159374999998,4.125683199410147,156.132,163.8,164.10000000000002,170.501,172.688
-1,1,-1,252.0,164.14805952380954,8.6138288292738,143.4,158.148,163.774,169.331,181.307
-1,1,1,462.0,166.92449134199134,4.7515634265651,143.4,163.296,166.253,169.344,178.111
1,-1,-1,247.0,162.05441295546555,11.641988826174613,110.835,160.096,165.888,169.331,175.521
1,-1,1,467.0,164.7978629550321,6.443880790828955,148.68,160.096,166.253,169.331,181.275
1,1,-1,247.0,164.8476801619433,8.685537432700913,148.7,157.017,164.2,171.82,180.7
1,1,1,15454.0,163.87213543419176,4.707427231851642,147.78,160.096,163.296,166.253,180.7
