IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
-1,-1,-1,118.0,0.04063050847457627,0.010170465943948761,0.0247,0.033600000000000005,0.0405,0.0455,0.0669
-1,-1,1,32.0,0.045128125,0.010430298123812805,0.0331,0.034350000000000006,0.0437,0.0488,0.0668
-1,1,-1,252.0,0.04195079365079365,0.01686407457644208,0.0182,0.0328,0.0374,0.0492,0.0998
-1,1,1,462.0,0.046168181818181823,0.012245415475097603,0.0182,0.0379,0.0454,0.054375,0.0736
1,-1,-1,247.0,0.04715546558704454,0.01378866185007381,0.0212,0.0403,0.0465,0.0506,0.0888
1,-1,1,467.0,0.046798929336188434,0.014974289085468051,0.0203,0.036699999999999997,0.0437,0.0536,0.1004
1,1,-1,247.0,0.05052307692307692,0.016936516864520548,0.0225,0.037,0.0475,0.0618,0.1042
1,1,1,15454.0,0.0459419179500453,0.011289085931817081,0.0166,0.0389,0.0443,0.0519,0.1003
