RUL_class,count,mean,std,min,25%,50%,75%,max
Critical,5762.0,0.04630534536619229,0.01161646724669986,0.0166,0.039,0.0445,0.0526,0.1042
Low,5757.0,0.045414938335938855,0.011385643118974255,0.0182,0.0382,0.044,0.0509,0.1004
Healthy,5760.0,0.04615324652777778,0.01203605900286841,0.0166,0.0383,0.0446,0.0525,0.1042
