IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
-1,-1,-1,118.0,0.0010440677966101698,0.00041991907500418276,0.0004,0.0007,0.001,0.0012,0.0021
-1,-1,1,32.0,0.00083125,0.00040911982628328403,0.0004,0.0004,0.0007,0.0012,0.0014
-1,1,-1,252.0,0.0008900793650793651,0.0004995025350493336,0.0002,0.0006,0.0008,0.0011,0.0057
-1,1,1,462.0,0.0009906926406926407,0.00037198528868754075,0.0002,0.0008,0.0009,0.0011749999999999998,0.0021
1,-1,-1,247.0,0.001434412955465587,0.0014878061137213394,0.0001,0.0008,0.001,0.00155,0.009
1,-1,1,467.0,0.0010338329764453963,0.0006396509223907761,0.0001,0.0007,0.0008,0.0011,0.0034
1,1,-1,247.0,0.001928744939271255,0.002015232552227563,0.0002,0.0007,0.001,0.0015,0.0072
1,1,1,15454.0,0.0009809175617962987,0.00040945299635839025,0.0001,0.0007,0.0009,0.0012,0.0053
