IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
-1,-1,-1,118.0,3.6872881355932225,8.315418400851852,0.9,1.345,1.345,1.345,32.5
-1,-1,1,32.0,1.345,0.0,1.345,1.345,1.345,1.345,1.345
-1,1,-1,252.0,1.3450000000000002,2.224864851728873e-16,1.345,1.345,1.345,1.345,1.345
-1,1,1,462.0,1.3450000000000002,2.222853037544294e-16,1.345,1.345,1.345,1.345,1.345
1,-1,-1,247.0,1.4530364372469637,0.6350251985015796,1.345,1.345,1.345,1.345,5.3
1,-1,1,467.0,1.339710920770878,0.25294482754499725,0.61,1.345,1.345,1.345,4.8
1,1,-1,247.0,1.3450000000000002,2.2249545737894456e-16,1.345,1.345,1.345,1.345,1.345
1,1,1,15454.0,1.3448605539019023,0.014467677516576473,0.7,1.345,1.345,1.345,1.65
