epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro
1,0.0001,0.24719420594885924,0.9443994358928196,0.008548491976351503,0.9979598775926556,0.9988371889575187,0.9981205212331291,0.9984676894516711
2,0.0001,0.013349822947318565,0.9972094697992618,0.01140601748194633,0.9965997959877593,0.9981815319975141,0.9983470017791098,0.998241133214811
3,0.0001,0.013984137100792032,0.9967593842830138,0.005516726721001524,0.9981298877932676,0.9978140340889436,0.9980929514165375,0.9979164913396777
4,0.0001,0.008337260828989968,0.9981396465328413,0.001518322747920832,0.999829989799388,0.9998928303504447,0.9998903027643703,0.9998913131391622
5,0.0001,0.009432458925399704,0.997509526810094,0.0026146152229051083,0.9991499489969398,0.9995905666557484,0.9994515138218517,0.9995159495605639
6,0.0001,0.006965592941721568,0.9983496864404237,0.0258406410364468,0.9921795307718463,0.9878374659281935,0.9894710119344985,0.9872982745616027
7,5e-05,0.006594350438265697,0.9984397035436733,0.002000162409308676,0.9994899693981639,0.9994009730974575,0.9995834703584792,0.999489632605906
8,5e-05,0.001305410643815267,0.9997899600924176,0.00039030383126731127,0.999829989799388,0.9998928303504447,0.9999166458281237,0.9999045395125904
9,5e-05,0.0010245401974947992,0.9997299486902511,6.564216783889486e-05,1.0,1.0,1.0,1.0
10,5e-05,0.0014240102043305608,0.999699942989168,5.1248306891320544e-05,1.0,1.0,1.0,1.0
11,5e-05,0.0020833432338271687,0.9994298916794191,0.001168725996029879,0.999659979598776,0.9998147907063055,0.9998214985810759,0.9998177746798509
12,2.5e-05,0.0009571376032623739,0.9997599543913344,0.0013600538233533104,0.999659979598776,0.9998389038774554,0.9998214985810759,0.999829880727677
13,2.5e-05,0.0003478524688288083,0.9998799771956671,0.0007944086438006743,0.999829989799388,0.9999219603558608,0.9999311958167056,0.9999264615406886
14,2.5e-05,9.38895637827501e-05,1.0,0.0006295564840909682,0.999829989799388,0.9999219603558608,0.9999311958167056,0.9999264615406886
15,1.25e-05,0.00031526880351378557,0.9999099828967504,0.0010248706157602917,0.999829989799388,0.9999219603558608,0.9999311958167056,0.9999264615406886
