epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro
1,0.0001,2.10209175643059,0.46409817865394426,3.4474290660026727,0.6174770486229174,0.6283525677596863,0.43997247072881934,0.44537160647826896
2,0.0001,1.302084070437132,0.6521139016413119,3.3430511554217346,0.7137028221693301,0.7651266139451237,0.5885122165327837,0.6106265138951501
3,0.0001,1.0607753208476431,0.7141956971824647,3.2792706247172116,0.7626657599455967,0.8173429343997818,0.6738638300622806,0.6960190459323622
4,0.0001,0.9280196116531264,0.7443514267710865,3.22633278803613,0.7898673920435226,0.8284526805809157,0.7245072347196931,0.7452014827128017
5,0.0001,0.8395272678005015,0.7692561586701473,3.1906527216359084,0.8063583815028902,0.8446875287790739,0.7551563481125846,0.7750546484549689
6,0.0001,0.7700572677398632,0.7855192486572449,3.171708032737091,0.8180890853451207,0.8487777628149762,0.7811135907724396,0.8011254102409803
7,0.0001,0.7209569080100507,0.7968914093677799,3.1473640457621563,0.8233594015640938,0.8579370419511321,0.7837216849667914,0.8019179839115288
8,0.0001,0.6765283010961499,0.808563627089147,3.1338172945510934,0.8361101666099966,0.8585022908450965,0.8103422944985261,0.8264747210325833
9,0.0001,0.6489534025211647,0.8153149098328683,3.1144998993690383,0.8420605236314179,0.8722229129404757,0.8122190299758321,0.8320584800326405
10,0.0001,0.6124641987463463,0.826357007831488,3.0999374217786015,0.8475008500510031,0.8663616895633519,0.8200253006675633,0.8338709941741413
11,0.0001,0.5924899092012675,0.8309478800972184,3.094328827048921,0.8558313498809929,0.881099876630469,0.8361556025058361,0.8492396467162039
12,0.0001,0.570589697682561,0.8366189576019444,3.0900562015450435,0.8534512070724244,0.8814557434710852,0.8380349764470799,0.8530418438095251
13,0.0001,0.5458504733023594,0.8442404056770787,3.0751291590051477,0.8621217273036382,0.8811069653795763,0.8468820332925466,0.8576773386074162
14,0.0001,0.5354445392490202,0.8464908332583191,3.070710016326489,0.8621217273036382,0.8853534507724659,0.8526531405378533,0.8633615889242723
15,0.0001,0.5147993742988624,0.8499414888828878,3.0610108779263876,0.8607616456987419,0.8847221807420678,0.8416829283821705,0.8543667170544703
