IsolationForest,LOF,OneClassSVM,sample_time_continuous_caster,count
1,-1,-1,1:05:47,6
1,-1,-1,21:23:01,6
1,-1,-1,3:55:39,6
1,-1,-1,17:57:00,6
1,-1,-1,17:22:00,6
1,-1,-1,22:07:40,6
1,-1,-1,16:04:18,6
1,-1,-1,6:59:06,6
1,-1,-1,2:14:20,6
1,-1,-1,6:59:41,6
1,-1,-1,7:27:53,6
1,-1,-1,14:03:27,6
1,-1,-1,19:34:31,6
1,-1,-1,22:56:15,6
1,-1,-1,6:25:01,5
1,-1,-1,23:31:44,5
1,-1,-1,12:38:54,5
1,-1,-1,4:44:45,5
1,-1,-1,18:44:16,5
1,-1,-1,17:41:16,5
1,-1,-1,4:05:21,4
1,-1,-1,19:16:16,4
1,-1,-1,2:59:24,4
1,-1,-1,5:57:44,4
1,-1,-1,13:25:34,3
1,-1,-1,17:11:15,3
1,-1,-1,16:35:19,2
1,-1,-1,15:33:35,2
1,-1,-1,23:37:01,2
1,-1,-1,7:52:08,2
1,-1,-1,22:29:29,1
1,-1,-1,17:27:21,1
1,-1,-1,12:21:29,1
1,-1,-1,21:43:26,1
1,-1,1,12:21:29,11
1,-1,1,12:12:01,11
1,-1,1,8:23:03,9
1,-1,1,22:23:45,9
1,-1,1,19:42:50,9
1,-1,1,18:41:19,9
1,-1,1,11:08:33,9
1,-1,1,10:14:13,9
1,-1,1,21:48:55,8
1,-1,1,23:07:30,8
1,-1,1,23:56:58,8
1,-1,1,18:18:26,7
1,-1,1,23:14:49,7
1,-1,1,3:43:31,7
1,-1,1,7:22:26,7
1,-1,1,8:48:30,7
1,-1,1,22:05:25,7
1,-1,1,8:53:41,7
1,-1,1,18:59:02,6
1,-1,1,19:47:52,6
1,-1,1,12:44:21,6
1,-1,1,16:45:21,6
1,-1,1,7:44:38,6
1,-1,1,21:42:12,6
1,-1,1,23:36:32,6
1,-1,1,14:52:02,6
1,-1,1,7:52:17,6
1,-1,1,11:00:38,6
1,-1,1,10:01:25,6
1,-1,1,10:02:58,6
1,-1,1,20:33:02,6
1,-1,1,5:07:43,6
1,-1,1,12:04:58,6
1,-1,1,16:39:12,6
1,-1,1,15:03:29,6
1,-1,1,12:43:16,6
1,-1,1,20:05:30,6
1,-1,1,4:30:19,6
1,-1,1,0:40:24,5
1,-1,1,7:36:51,5
