IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
-1,-1,-1,118.0,0.19118135593220342,0.05557568174628663,0.0929,0.1631,0.1755,0.2007,0.2859
-1,-1,1,32.0,0.20555,0.030478114834598405,0.1727,0.1917,0.1975,0.2007,0.2824
-1,1,-1,252.0,0.18970753968253967,0.0756356894108054,0.0818,0.1024,0.1971,0.276,0.2925
-1,1,1,462.0,0.2407344155844156,0.05959293227015906,0.0974,0.1973,0.276,0.2831,0.2975
1,-1,-1,247.0,0.19161457489878542,0.016026569343442796,0.1171,0.1876,0.1947,0.1998,0.2185
1,-1,1,467.0,0.19044817987152035,0.008703460654631491,0.1652,0.1849,0.1899,0.1952,0.2149
1,1,-1,247.0,0.175197975708502,0.041905858923851555,0.0579,0.1863,0.1899,0.1944,0.2081
1,1,1,15454.0,0.19203622363142228,0.009556708313313,0.0579,0.1877,0.1924,0.197,0.2205
