RUL_class,count,mean,std,min,25%,50%,75%,max
Critical,5762.0,0.19102233599444635,0.012874202309919468,0.0579,0.1871,0.1917,0.1968,0.2828
Low,5757.0,0.1927495396908112,0.02028975893047028,0.0579,0.1879,0.1927,0.1974,0.2975
Healthy,5760.0,0.19533031250000002,0.023511181822241586,0.0579,0.1878,0.1929,0.1983,0.2975
