DBSCAN,impurity_index_fca_bin,count
426,Low,40
426,Medium,5
427,Low,5
428,Low,10
429,Medium,5
430,Medium,10
431,Low,5
432,Low,5
433,Medium,5
434,Low,5
434,Medium,5
435,Low,5
436,Medium,5
437,Low,5
438,Low,5
439,Low,5
440,Medium,5
441,Low,10
442,Medium,5
443,Medium,5
443,Low,5
444,Low,5
444,Medium,5
445,Low,5
446,High,5
447,Low,5
448,Medium,5
449,Low,10
450,Low,5
451,Medium,5
452,Medium,5
453,Low,5
454,Medium,20
454,High,5
455,Medium,5
456,Low,5
457,Low,5
458,Low,5
459,High,5
460,Low,40
461,Low,20
462,Low,5
463,Low,5
464,Low,5
465,Low,5
466,Low,5
467,Medium,5
468,Low,5
469,Low,5
470,Medium,5
471,Low,5
472,Low,10
473,Low,27
474,Low,5
475,Low,5
476,High,5
477,High,5
478,High,88
478,Medium,44
479,High,11
480,Medium,11
481,High,11
482,High,11
483,Medium,33
483,Low,22
484,Medium,11
485,High,11
486,Low,11
487,Low,7
488,Low,28
488,Medium,7
489,Low,49
489,Medium,7
490,Low,98
491,Low,7
492,Low,70
493,Low,7
494,Low,7
495,Low,7
496,Low,14
497,Low,7
498,Medium,12
499,Low,12
500,Medium,12
500,High,12
501,High,12
502,Low,24
503,Medium,60
503,Low,36
504,Low,48
505,Low,12
506,Low,12
507,Low,12
508,Medium,12
509,Low,12
510,Low,12
511,Low,6
512,Low,54
513,Low,6
514,Low,12
515,Low,6
516,Low,6
517,Medium,12
517,High,6
518,Low,6
519,Low,6
520,Low,6
521,Low,6
522,Low,6
523,Low,6
524,Low,6
525,Low,6
526,Low,6
527,High,6
528,Medium,6
529,Low,60
530,Low,12
531,Low,12
532,Low,12
533,Low,12
534,Low,12
535,Medium,12
536,Medium,24
537,Low,12
538,Low,12
539,Low,12
540,Low,12
541,Medium,12
542,Medium,12
543,Medium,12
544,Medium,12
545,Low,65
546,Low,13
547,Medium,72
547,Low,33
548,Low,13
549,Low,13
550,Low,13
551,Low,13
552,Low,26
553,Low,13
554,Low,13
555,Low,13
556,Low,13
557,Low,13
558,Low,26
559,Low,13
560,Low,13
561,Medium,35
561,High,7
562,High,7
563,Low,7
564,Low,7
564,Medium,7
565,Low,7
566,Medium,7
567,High,7
568,Medium,7
569,Medium,14
570,Medium,21
570,High,14
570,Low,7
571,Medium,7
572,High,7
573,High,7
574,High,7
575,High,7
576,Medium,7
577,Medium,7
578,Low,7
579,Medium,7
580,Medium,14
580,Low,14
581,Medium,7
582,Medium,7
583,Low,7
583,Medium,7
584,Medium,21
585,Low,7
586,Medium,28
586,Low,7
587,Low,7
588,High,7
589,Low,14
590,Low,7
591,Medium,7
592,Medium,7
593,Low,7
594,Low,7
595,High,13
596,High,13
597,Low,91
597,Medium,26
598,High,13
599,Medium,26
599,Low,13
600,High,13
601,Low,26
602,Low,13
603,Medium,13
604,Low,26
605,Medium,13
606,High,13
607,Medium,13
608,High,13
609,Medium,13
610,High,13
611,Low,13
612,Low,7
613,Medium,7
614,Low,7
615,Low,7
616,Low,7
617,Low,21
617,Medium,14
618,Low,7
619,Low,7
620,Low,7
621,Low,7
622,Low,7
623,Low,7
624,Low,7
625,Low,7
626,High,13
627,Low,13
628,Medium,13
629,High,13
630,Medium,13
630,Low,13
631,Low,13
632,Low,26
633,Low,39
634,Medium,13
635,Low,13
636,Low,13
637,Medium,39
638,Low,28
638,Medium,28
638,High,7
639,Low,14
640,Low,14
641,Medium,7
642,High,14
643,Medium,7
644,Medium,14
644,High,7
645,High,7
646,High,7
647,Medium,21
648,Medium,7
649,Medium,7
650,Medium,7
651,Low,7
652,High,7
653,Medium,7
654,Low,7
655,Medium,7
656,Medium,14
656,Low,14
656,High,7
657,Medium,63
657,Low,7
658,Medium,7
659,Low,7
660,High,7
661,High,7
662,High,7
663,Medium,7
664,Medium,7
