anomaly_label,anomaly_score,is_anomaly,RUL,RUL_class
-1,-0.012949290716052109,1,384.0,Low
1,0.03665059991887959,0,1037.0,Healthy
1,0.02058628951550595,0,355.0,Low
1,0.025541249056256654,0,300.0,Low
1,0.02744540787682387,0,164.0,Low
1,0.030838394709612915,0,109.0,Critical
1,0.02334060397906884,0,577.0,Medium
-1,-0.10092467073436817,1,491.0,Medium
1,0.035287523746326765,0,327.0,Low
1,0.04320945609623322,0,136.0,Critical
1,0.010208717225373143,0,80.0,Critical
1,0.04007078355554067,0,273.0,Low
1,0.031946572918411686,0,246.0,Low
1,0.036425327349881687,0,218.0,Low
1,0.040606091734215755,0,191.0,Low
-1,-0.10664180615949248,1,516.0,Medium
-1,-0.04524324945352198,1,464.0,Medium
1,0.008600247704770247,0,435.0,Medium
1,0.010287791379286704,0,407.0,Medium
1,0.03788134822461808,0,54.0,Critical
1,0.033044159067485035,0,27.0,Critical
1,0.043034261554485476,0,0.0,Critical
-1,-0.11047108853629528,1,0.0,Critical
1,0.031772308271497074,0,1064.0,Healthy
1,0.040329132493070075,0,1091.0,Healthy
1,0.010492882390197078,0,898.0,Healthy
-1,-0.012705713733329294,1,548.0,Medium
1,0.04385188647339566,0,955.0,Healthy
1,0.043034261554485476,0,0.0,Critical
1,0.037356184920133206,0,57.0,Critical
-1,-0.043827278504216305,1,1282.0,Healthy
1,0.008520732787168805,0,1255.0,Healthy
1,0.011262786341424802,0,1228.0,Healthy
1,0.038021878166791145,0,871.0,Healthy
1,0.03320832105224103,0,841.0,Healthy
1,0.04351111513233341,0,814.0,Healthy
-1,-0.012705713733329294,1,563.0,Medium
-1,-0.012949290716052109,1,397.0,Low
1,0.020476464016722817,0,370.0,Low
1,0.025432541169434608,0,313.0,Low
1,0.02744540787682387,0,173.0,Low
1,0.030838394709612915,0,116.0,Critical
1,0.02334060397906884,0,592.0,Medium
-1,-0.10092467073436817,1,506.0,Medium
1,0.03518101417274627,0,341.0,Low
1,0.04320945609623322,0,143.0,Critical
1,0.00942799969727115,0,86.0,Critical
1,0.0399653528663248,0,284.0,Low
1,0.03183930977932253,0,257.0,Low
1,0.03631907441268867,0,229.0,Low
1,0.04050078178601063,0,200.0,Low
-1,-0.10664180615949248,1,531.0,Medium
-1,-0.04524324945352198,1,479.0,Medium
1,0.008600247704770247,0,450.0,Medium
1,0.010287791379286704,0,422.0,Medium
1,0.032738923742615056,0,28.0,Critical
1,0.03617312306551257,0,1148.0,Healthy
1,0.04142924105594409,0,1009.0,Healthy
1,0.02337263541299439,0,1335.0,Healthy
1,0.03172200278316273,0,927.0,Healthy
1,0.028334470916233312,0,982.0,Healthy
1,0.025967971182640992,0,1118.0,Healthy
-1,-0.10572222222377803,1,0.0,Critical
1,0.022288769578268197,0,1175.0,Healthy
-1,-0.012471123805197881,1,1308.0,Healthy
-1,-0.012932269613356806,1,1202.0,Healthy
1,0.06464378993949443,0,7541.0,Healthy
1,0.03154775222689726,0,7513.0,Healthy
1,0.028752096524529147,0,9301.0,Healthy
1,0.0562232964175986,0,9350.0,Healthy
1,0.08840796329228373,0,9377.0,Healthy
1,0.08840796329228373,0,3246.0,Healthy
1,0.0562232964175986,0,3219.0,Healthy
1,0.028752096524529147,0,3170.0,Healthy
1,0.05870451814197586,0,7568.0,Healthy
1,0.09132737200168972,0,85.0,Critical
1,0.05870451814197586,0,55.0,Critical
1,0.06464378993949443,0,28.0,Critical
1,0.03154775222689726,0,0.0,Critical
1,0.03033024712643201,0,11736.0,Healthy
1,0.06236767462754539,0,11761.0,Healthy
1,0.056771389754742496,0,11785.0,Healthy
1,0.08928152081565482,0,11812.0,Healthy
1,0.061328000302609764,0,3195.0,Healthy
1,0.09132737200168972,0,7598.0,Healthy
1,0.061328000302609764,0,9326.0,Healthy
1,0.05904903451259441,0,13623.0,Healthy
1,0.028752096524529147,0,9798.0,Healthy
1,0.061328000302609764,0,9823.0,Healthy
1,0.0562232964175986,0,9847.0,Healthy
1,0.08840796329228373,0,9874.0,Healthy
1,0.03154775222689726,0,10370.0,Healthy
1,0.06429053074849994,0,10395.0,Healthy
1,0.09132737200168972,0,10446.0,Healthy
1,0.08840796329228373,0,3458.0,Healthy
1,0.09147479308065726,0,13650.0,Healthy
1,0.0562232964175986,0,3431.0,Healthy
1,0.061328000302609764,0,3407.0,Healthy
1,0.028752096524529147,0,3382.0,Healthy
1,0.05901988739004793,0,10419.0,Healthy
1,0.0646135724171733,0,13596.0,Healthy
1,0.032881736161588127,0,13571.0,Healthy
1,0.09357441366509017,0,12536.0,Healthy
1,0.0858005832190103,0,9189.0,Healthy
1,0.09357441366509017,0,9238.0,Healthy
1,0.07781085584243602,0,9248.0,Healthy
1,0.0977887126139077,0,9278.0,Healthy
1,0.08890292336772104,0,9306.0,Healthy
1,0.11264824109095639,0,8671.0,Healthy
1,0.07856801696042531,0,12763.0,Healthy
1,0.11240985546159554,0,9162.0,Healthy
1,0.08956557766034545,0,12739.0,Healthy
1,0.06278727424095953,0,9337.0,Healthy
1,0.052877348358197074,0,9367.0,Healthy
1,0.04830544397013292,0,12705.0,Healthy
1,0.052877348358197074,0,12680.0,Healthy
1,0.08888914982140472,0,12791.0,Healthy
1,0.10473031378497316,0,9137.0,Healthy
1,0.11223750533420485,0,9110.0,Healthy
1,0.10168363464066366,0,9082.0,Healthy
1,0.0977887126139077,0,12595.0,Healthy
1,0.08890292336772104,0,12622.0,Healthy
1,0.06278727424095953,0,12650.0,Healthy
1,0.09270761742603228,0,8723.0,Healthy
1,0.07706689819127588,0,8751.0,Healthy
1,0.07035371510283656,0,8781.0,Healthy
1,0.09656151308239802,0,8809.0,Healthy
1,0.07781085584243602,0,12564.0,Healthy
1,0.1011781962782522,0,8837.0,Healthy
1,0.09696738463799492,0,8895.0,Healthy
1,0.05845996567879719,0,8699.0,Healthy
1,0.10110261764040235,0,8947.0,Healthy
1,0.1128230335435993,0,8972.0,Healthy
1,0.11398834692820337,0,8996.0,Healthy
1,0.11125791744213537,0,9024.0,Healthy
1,0.10478237390847178,0,9051.0,Healthy
1,0.1033248466143768,0,8864.0,Healthy
1,0.11394685689243961,0,8920.0,Healthy
1,0.09270761742603228,0,12042.0,Healthy
1,0.0858005832190103,0,12509.0,Healthy
1,0.10473031378497316,0,15940.0,Healthy
1,0.11223750533420485,0,15913.0,Healthy
1,0.10168363464066366,0,15885.0,Healthy
1,0.10478237390847178,0,15857.0,Healthy
1,0.11125791744213537,0,15830.0,Healthy
1,0.11398834692820337,0,15803.0,Healthy
1,0.1128230335435993,0,15775.0,Healthy
1,0.10110261764040235,0,15747.0,Healthy
1,0.11394685689243961,0,15720.0,Healthy
1,0.09696738463799492,0,15692.0,Healthy
1,0.11240985546159554,0,15968.0,Healthy
1,0.1033248466143768,0,15665.0,Healthy
1,0.09656151308239802,0,15609.0,Healthy
1,0.07035371510283656,0,15582.0,Healthy
1,0.07706689819127588,0,15554.0,Healthy
1,0.09270761742603228,0,15527.0,Healthy
1,0.05845996567879719,0,15499.0,Healthy
1,0.11264824109095639,0,15471.0,Healthy
1,0.1033248466143768,0,12183.0,Healthy
1,0.1011781962782522,0,12156.0,Healthy
1,0.09656151308239802,0,12125.0,Healthy
1,0.07035371510283656,0,12097.0,Healthy
1,0.1011781962782522,0,15637.0,Healthy
1,0.11264824109095639,0,16337.0,Healthy
1,0.0858005832190103,0,15995.0,Healthy
1,0.07781085584243602,0,16054.0,Healthy
1,0.11240985546159554,0,12481.0,Healthy
1,0.10473031378497316,0,12453.0,Healthy
1,0.11223750533420485,0,12426.0,Healthy
1,0.10168363464066366,0,12398.0,Healthy
1,0.10478237390847178,0,12371.0,Healthy
1,0.11125791744213537,0,12346.0,Healthy
1,0.11398834692820337,0,12318.0,Healthy
1,0.1128230335435993,0,12291.0,Healthy
1,0.10110261764040235,0,12266.0,Healthy
1,0.11394685689243961,0,12239.0,Healthy
1,0.09357441366509017,0,16026.0,Healthy
1,0.11264824109095639,0,11984.0,Healthy
1,0.09696738463799492,0,12214.0,Healthy
1,0.07648836049462482,0,12070.0,Healthy
1,0.08888914982140472,0,16284.0,Healthy
1,0.07856801696042531,0,16256.0,Healthy
1,0.08956557766034545,0,16229.0,Healthy
1,0.04830544397013292,0,16198.0,Healthy
1,0.052877348358197074,0,16170.0,Healthy
1,0.06278727424095953,0,16143.0,Healthy
1,0.08890292336772104,0,16112.0,Healthy
1,0.0977887126139077,0,16081.0,Healthy
1,0.05845996567879719,0,12012.0,Healthy
1,0.05845996567879719,0,16361.0,Healthy
1,0.09871181908938842,0,919.0,Healthy
1,0.07648836049462482,0,16416.0,Healthy
1,0.08956557766034545,0,9426.0,Healthy
1,0.04830544397013292,0,9395.0,Healthy
1,0.08888914982140472,0,17131.0,Healthy
1,0.07856801696042531,0,17103.0,Healthy
1,0.08956557766034545,0,17076.0,Healthy
1,0.04830544397013292,0,17048.0,Healthy
1,0.052877348358197074,0,17023.0,Healthy
1,0.06278727424095953,0,16996.0,Healthy
1,0.08890292336772104,0,16968.0,Healthy
1,0.0977887126139077,0,16941.0,Healthy
1,0.07781085584243602,0,16913.0,Healthy
1,0.09357441366509017,0,16885.0,Healthy
1,0.0858005832190103,0,16861.0,Healthy
1,0.11240985546159554,0,16833.0,Healthy
1,0.10473031378497316,0,16806.0,Healthy
1,0.11223750533420485,0,16778.0,Healthy
1,0.10168363464066366,0,16750.0,Healthy
1,0.10478237390847178,0,16723.0,Healthy
1,0.11125791744213537,0,16696.0,Healthy
1,0.11398834692820337,0,16671.0,Healthy
1,0.1128230335435993,0,16643.0,Healthy
1,0.10110261764040235,0,16616.0,Healthy
1,0.11394685689243961,0,16588.0,Healthy
1,0.09696738463799492,0,16561.0,Healthy
1,0.09270761742603228,0,16389.0,Healthy
1,0.08056562727719008,0,1084.0,Healthy
1,0.09152294016901225,0,1057.0,Healthy
1,0.07856801696042531,0,9453.0,Healthy
1,0.08888914982140472,0,9481.0,Healthy
1,0.1143806642399936,0,11600.0,Healthy
1,0.05988447876261854,0,11631.0,Healthy
1,0.08977499969531538,0,12383.0,Healthy
1,0.08013328477084097,0,12355.0,Healthy
1,0.09109071296238114,0,12331.0,Healthy
1,0.04942080627366513,0,12303.0,Healthy
1,0.05328379019878776,0,12279.0,Healthy
1,0.06469069684299028,0,12251.0,Healthy
1,0.08991967633530024,0,12226.0,Healthy
1,0.09954232505161303,0,12199.0,Healthy
1,0.07964997579483019,0,12171.0,Healthy
1,0.0946187883476648,0,12147.0,Healthy
1,0.0890671028873054,0,12119.0,Healthy
1,0.11441082842298944,0,12091.0,Healthy
1,0.10849088357382514,0,12067.0,Healthy
1,0.04723905131890205,0,1029.0,Healthy
1,0.11647982282568808,0,12039.0,Healthy
1,0.10731811350205556,0,11984.0,Healthy
1,0.1136984236091339,0,11959.0,Healthy
1,0.11733010868912058,0,11932.0,Healthy
1,0.11542669423859098,0,11904.0,Healthy
1,0.10310292648525221,0,11880.0,Healthy
1,0.11685849536974197,0,11852.0,Healthy
1,0.09778767825043277,0,11827.0,Healthy
1,0.10491558802154083,0,11800.0,Healthy
1,0.10271631554957972,0,11772.0,Healthy
1,0.09818289766688965,0,11745.0,Healthy
1,0.07169931780342831,0,11714.0,Healthy
1,0.07832208238943017,0,11686.0,Healthy
1,0.09498608705286893,0,11659.0,Healthy
1,0.10471197714146346,0,12012.0,Healthy
1,0.05191871547946192,0,1002.0,Healthy
1,0.0902023595283502,0,1112.0,Healthy
1,0.08950771132901625,0,946.0,Healthy
1,0.06338807173491401,0,974.0,Healthy
1,0.07035371510283656,0,16447.0,Healthy
1,0.09656151308239802,0,16475.0,Healthy
1,0.1011781962782522,0,16502.0,Healthy
1,0.1033248466143768,0,16533.0,Healthy
1,0.11292312645597608,0,303.0,Low
1,0.05910637205488567,0,330.0,Low
1,0.07787038170476968,0,388.0,Low
1,0.0698730015970982,0,416.0,Medium
1,0.09707340142806203,0,444.0,Medium
1,0.10265614967260167,0,471.0,Medium
1,0.1033627365430459,0,502.0,Medium
1,0.09671576904480411,0,530.0,Medium
1,0.11626247057039579,0,557.0,Medium
1,0.09345868268443203,0,358.0,Low
1,0.11411637734545715,0,612.0,Medium
1,0.10106995316401612,0,585.0,Medium
1,0.0805501292586997,0,888.0,Healthy
1,0.08740738809171728,0,833.0,Healthy
1,0.11277239052126975,0,805.0,Healthy
1,0.10666679930397827,0,778.0,Medium
1,0.09380205184966312,0,860.0,Healthy
1,0.10415137516274209,0,722.0,Medium
1,0.10630285343669327,0,695.0,Medium
1,0.11193939233683253,0,668.0,Medium
1,0.11604146257738968,0,640.0,Medium
1,0.11561046658532242,0,750.0,Medium
1,0.11353520170094367,0,93.0,Critical
1,0.13289546068251046,0,12767.0,Healthy
1,0.11828864299006431,0,123.0,Critical
1,0.10676704471116438,0,154.0,Low
1,0.11799779633759283,0,185.0,Low
1,0.11739252527142319,0,215.0,Low
1,0.11769416396469135,0,215.0,Low
1,0.14156489127187316,0,12739.0,Healthy
1,0.12227106768782842,0,12795.0,Healthy
1,0.06506018523396712,0,311.0,Low
1,0.13914252360418994,0,12957.0,Healthy
1,0.1308210035039098,0,12847.0,Healthy
1,0.0979960663449958,0,246.0,Low
1,0.12327757292954017,0,277.0,Low
1,0.13789195785927855,0,12930.0,Healthy
1,0.14101254617378317,0,12878.0,Healthy
1,0.10969855945037049,0,12902.0,Healthy
1,0.09004742935038718,0,62.0,Critical
1,0.13116718879899109,0,12822.0,Healthy
1,0.11142125995766139,0,31.0,Critical
1,0.10986125519915124,0,13559.0,Healthy
1,0.11982155485766649,0,13902.0,Healthy
1,0.12802913967381008,0,0.0,Critical
1,0.06982017767549176,0,0.0,Critical
1,0.1387094813505863,0,12985.0,Healthy
1,0.14156489127187316,0,13390.0,Healthy
1,0.13289546068251046,0,13421.0,Healthy
1,0.12227106768782842,0,13448.0,Healthy
1,0.13116718879899109,0,13476.0,Healthy
1,0.13124574577507225,0,13504.0,Healthy
1,0.14157863790191794,0,13531.0,Healthy
1,0.11813394432603819,0,0.0,Critical
1,0.13804312287353865,0,13589.0,Healthy
1,0.13792463366298696,0,7889.0,Healthy
1,0.1294697024778932,0,13672.0,Healthy
1,0.12264739477208558,0,13703.0,Healthy
1,0.13194594654814273,0,13731.0,Healthy
1,0.12773937332568502,0,13758.0,Healthy
1,0.09726729464049422,0,13789.0,Healthy
1,0.11510732704227261,0,13816.0,Healthy
1,0.1366280933522408,0,13844.0,Healthy
1,0.11739290908965799,0,13872.0,Healthy
1,0.13929317715326955,0,13617.0,Healthy
1,0.12887476616298388,0,13013.0,Healthy
1,0.11224263552233782,0,0.0,Critical
1,0.13202611774877893,0,13065.0,Healthy
1,0.0968987955347968,0,1370.0,Healthy
1,0.11300707239536506,0,1395.0,Healthy
1,0.13713274533428155,0,1422.0,Healthy
1,0.1172834714142933,0,1450.0,Healthy
1,0.1193478237317761,0,1477.0,Healthy
1,0.12774540701853265,0,1474.0,Healthy
1,0.1276742022623676,0,1342.0,Healthy
1,0.12082857019650767,0,1511.0,Healthy
1,0.12287615774977806,0,1597.0,Healthy
1,0.12792163259195044,0,1613.0,Healthy
1,0.11551705805287515,0,1646.0,Healthy
1,0.12720152285811415,0,1677.0,Healthy
1,0.12635584582763537,0,1711.0,Healthy
1,0.12659521243849398,0,1745.0,Healthy
1,0.09905057531986278,0,1542.0,Healthy
1,0.10779277788617192,0,1778.0,Healthy
1,0.13154272944758288,0,1315.0,Healthy
1,0.12803521184874012,0,1260.0,Healthy
1,0.14078781493769876,0,135.0,Critical
1,0.1295337158606541,0,107.0,Critical
1,0.12253230331561249,0,13037.0,Healthy
1,0.12197053793799628,0,55.0,Critical
1,0.1401709134454131,0,993.0,Healthy
1,0.1310755390424324,0,1017.0,Healthy
1,0.1210865294152701,0,1287.0,Healthy
1,0.12197053793799628,0,1045.0,Healthy
1,0.1295337158606541,0,1097.0,Healthy
