feature,importance
"cat__Ni, %_fca_bin_High",0.0025052586346851068
"cat__N, %_fca_bin_High",0.0024953196527751948
"cat__temperature_measurement1, Celsius deg._fca_bin_Low",0.0024865310329106618
"cat__Ni, %_fca_bin_Medium",0.002485858756950432
"cat__Ce, %_fca_bin_High",0.0024731826813799993
"cat__Si, %_fca_bin_High",0.0024540744115406823
"cat__temperature_measurement2, Celsius deg._fca_bin_Medium",0.002449825069627912
cat__total_cooling_consumption_fca_bin_Medium,0.002441934251989397
cat__temperature_difference_fca_bin_High,0.002430897610109202
"cat__Cu, %_fca_bin_Medium",0.0024244219187073454
num__kind_encoded,0.0024232836743931655
cat__total_cooling_consumption_fca_bin_Low,0.0023934351930159775
cat__average_cooling_consumption_fca_bin_Low,0.0023923801330717437
"cat__temperature_measurement1, Celsius deg._fca_bin_Medium",0.0023912094880499117
"cat__P, %_fca_bin_Low",0.002382671599921391
"cat__Ti, %_fca_bin_Medium",0.0023740017371907916
"num__Sn, %_scaled",0.0023708921052137313
cat__grab1_num_fca_bin_Low,0.002357471081991335
"cat__Ca, %_fca_bin_Medium",0.0023278691093437994
"cat__Al, %_fca_bin_Medium",0.002321678826181016
"cat__As, %_fca_bin_High",0.0023171774019312245
"cat__temperature_measurement1, Celsius deg._fca_bin_High",0.0023143197096301017
"cat__workpiece_weight, tonn_fca_bin_Medium",0.0023078199140622703
cat__grab1_num_fca_bin_Medium,0.00227334455427283
"cat__temperature_measurement2, Celsius deg._fca_bin_Low",0.0022659740318387582
"cat__workpiece_weight, tonn_fca_bin_Low",0.0021565304044873076
"num__water_consumption, liter/minute_scaled",0.0020154868631821234
"cat__steel_weight_theoretical, tonn_fca_bin_Low",0.0020041968693351574
cat__grab1_num_fca_bin_High,0.001996512058349903
cat__temperature_difference_fca_bin_Medium,0.0019950491086793355
"cat__steel_weight, tonn_fca_bin_Medium",0.001972192280818029
"cat__steel_weight_theoretical, tonn_fca_bin_Medium",0.0019282075742544688
cat__average_cooling_consumption_fca_bin_High,0.0018879683257600926
"cat__steel_weight, tonn_fca_bin_Low",0.0018864056875507026
cat__total_cooling_consumption_fca_bin_High,0.001862089900279212
"cat__steel_weight_theoretical, tonn_fca_bin_High",0.0018400072427161803
"cat__steel_weight, tonn_fca_bin_High",0.0018032893505202196
"num__residuals_grab2, tonn_scaled",0.001724211500780434
"cat__workpiece_weight, tonn_fca_bin_High",0.0015419270139694987
"num__alloy_speed, meter/minute_scaled",0.0012793755178387124
num__workpiece_slice_geometry_encoded,0.0009777733891249342
"cat__crystallizer_movement, mm_fca_bin_Medium",0.0007865372348696117
num__alloy_type_encoded,0.000691664580467981
"num__water_temperature_delta, Celsius deg._scaled",0.0006845585295236845
cat__timestamp_2020-05-21 05:15:45,0.00024518522141335144
cat__timestamp_2020-05-21 02:14:24,0.00017831172108216244
cat__timestamp_2020-01-10 13:26:08,0.0001778205344733559
cat__timestamp_2020-05-31 15:07:24,0.00016266832866991025
cat__timestamp_2020-01-10 17:30:59,0.0001613679255833919
cat__timestamp_2020-01-10 18:13:40,0.00015896325578739956
cat__timestamp_2020-02-10 00:39:12,0.00015857606689595214
cat__timestamp_2020-01-10 16:41:43,0.00015778317545181921
cat__timestamp_2020-05-21 03:04:42,0.00015182879984520123
cat__timestamp_2020-05-25 09:43:02,0.00015008824696554745
cat__timestamp_2020-05-21 06:49:52,0.00014926451400955587
cat__timestamp_2020-08-20 23:08:51,0.00014810550356044022
cat__timestamp_2020-05-31 13:44:06,0.0001441508258708181
cat__timestamp_2020-05-20 22:25:00,0.00014306230815830612
cat__timestamp_2020-04-08 00:53:21,0.0001387107914847031
cat__timestamp_2020-07-26 02:08:27,0.00013768064798298603
cat__timestamp_2020-03-08 17:19:05,0.0001370635069919257
cat__timestamp_2020-05-08 20:46:00,0.00013461667796731125
cat__timestamp_2020-01-10 23:09:49,0.00013149939053173974
cat__timestamp_2020-01-10 12:03:15,0.0001304716085229904
cat__timestamp_2020-01-10 10:40:07,0.00012551106992761808
cat__timestamp_2020-05-31 09:08:59,0.00012254050889239776
cat__timestamp_2020-04-08 04:58:09,0.00012095015639717798
cat__timestamp_2020-05-21 01:38:50,0.00011840546573959614
cat__timestamp_2020-05-25 03:05:44,0.00011245444026542946
cat__timestamp_2020-01-05 14:12:29,0.0001081315293042248
cat__timestamp_2020-01-10 14:04:06,0.00010741114314191037
cat__timestamp_2020-04-08 01:37:01,0.00010601512580150743
cat__timestamp_2020-05-21 07:33:59,0.00010424311157136636
cat__timestamp_2020-05-09 00:14:19,0.0001042151722105108
"num__technical_trim, tonn_scaled",0.0001025049222695767
cat__timestamp_2020-01-10 22:23:26,0.00010169592626390262
cat__timestamp_2020-05-21 06:07:32,0.00010120778373839232
cat__timestamp_2020-01-08 06:19:48,0.00010084214745829488
cat__timestamp_2020-07-26 02:56:09,0.00010069830684227016
cat__timestamp_2020-05-20 23:20:31,0.0001004242520032723
cat__timestamp_2020-04-08 07:36:51,9.953866598625224e-05
cat__timestamp_2020-03-08 22:46:38,9.656564718320703e-05
cat__timestamp_2020-03-08 15:06:54,9.422310745825511e-05
cat__timestamp_2020-05-20 00:08:43,9.404017510933269e-05
cat__timestamp_2020-01-10 11:22:09,9.269467345867635e-05
cat__timestamp_2020-08-26 06:18:16,9.211633440710628e-05
cat__timestamp_2020-05-25 03:48:40,9.075686597330768e-05
cat__timestamp_2020-06-09 23:29:50,9.049445701595854e-05
cat__timestamp_2020-03-08 17:56:06,8.880742893488939e-05
cat__timestamp_2020-01-10 00:00:06,8.859173180990379e-05
cat__timestamp_2020-07-26 00:48:16,8.849289501040585e-05
cat__timestamp_2020-01-08 09:19:29,8.815005717945781e-05
cat__timestamp_2020-03-08 20:03:02,8.730167134164057e-05
cat__timestamp_2020-05-25 04:38:22,8.610367414219919e-05
cat__timestamp_2020-05-09 19:46:27,8.319652091905244e-05
cat__timestamp_2020-05-09 17:38:13,8.278322847373647e-05
cat__timestamp_2020-05-25 06:54:53,8.179351686199717e-05
cat__timestamp_2020-05-21 03:46:19,8.129647448031015e-05
cat__timestamp_2020-05-25 08:57:40,8.070880829886279e-05
cat__timestamp_2020-05-09 22:12:22,8.025919794756132e-05
cat__timestamp_2020-05-24 21:29:00,7.967181491248414e-05
cat__timestamp_2020-05-20 12:25:48,7.937972965467178e-05
cat__timestamp_2020-05-31 12:56:12,7.686877131872854e-05
cat__timestamp_2020-05-09 18:18:02,7.53222190439389e-05
cat__timestamp_2020-05-19 12:24:25,7.388382227712055e-05
cat__timestamp_2020-05-09 22:55:26,7.209444288296753e-05
cat__timestamp_2020-05-31 07:31:09,7.192768676540075e-05
cat__timestamp_2020-05-09 13:05:27,7.173317606668452e-05
cat__timestamp_2020-07-23 12:53:49,7.150400744129127e-05
