antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'residuals_grab2, tonn_4.0', 'kind_B 789/BC'})",frozenset({'doc_requirement_DOC 34028-2016'}),0.97424619480294,0.7953006539730308,0.7753342207303663,0.7958298681240347,1.0006654265256292,1.0,0.0005155848728513046,1.0025920253180094,0.02582080677125969,0.7798474882123522,0.0025853240925063662,0.8853621760937449
"frozenset({'residuals_grab2, tonn_4.0', 'doc_requirement_DOC 34028-2016'})",frozenset({'kind_B 789/BC'}),0.7756235893280862,0.9997106314022802,0.7753342207303663,0.9996269213550215,0.9999162657226709,1.0,-6.492748731767861e-05,0.7756235893278246,-0.0003730786449792257,0.7753342207303663,-0.2892851813166562,0.887592782201188
"frozenset({'kind_B 789/BC', 'doc_requirement_DOC 34028-2016'})","frozenset({'residuals_grab2, tonn_4.0'})",0.7950112853753111,0.9745355634006597,0.7753342207303663,0.9752493266360922,1.0007324137386446,1.0,0.0005674498272548734,1.0288381340151058,0.0035703316775328666,0.7798474882123522,0.028029806693267937,0.8854214445995949
"frozenset({'residuals_grab2, tonn_4.0'})","frozenset({'kind_B 789/BC', 'doc_requirement_DOC 34028-2016'})",0.9745355634006597,0.7950112853753111,0.7753342207303663,0.7955935625630975,1.0007324137386446,1.0,0.0005674498272548734,1.0028486245104986,0.028741170004139532,0.7798474882123522,0.0028405328988600977,0.8854214445995949
frozenset({'kind_B 789/BC'}),"frozenset({'residuals_grab2, tonn_4.0', 'doc_requirement_DOC 34028-2016'})",0.9997106314022802,0.7756235893280862,0.7753342207303663,0.7755586430473543,0.9999162657226709,1.0,-6.492748731767861e-05,0.9997106314022797,-0.22444135695308015,0.7753342207303663,-0.00028945235614274154,0.887592782201188
frozenset({'doc_requirement_DOC 34028-2016'}),"frozenset({'residuals_grab2, tonn_4.0', 'kind_B 789/BC'})",0.7953006539730308,0.97424619480294,0.7753342207303663,0.974894484063455,1.0006654265256292,1.0,0.0005155848728513046,1.0258225826608642,0.0032485889208964036,0.7798474882123522,0.025172562095370825,0.8853621760937449
"frozenset({'alloy_speed, meter/minute_2.0', 'kind_B 789/BC'})",frozenset({'doc_requirement_DOC 34028-2016'}),0.872504195844667,0.7953006539730308,0.792522715434921,0.908331122313611,1.1421229415264798,1.0,0.09861955788544396,2.2330299136777034,0.9760126348942892,0.9054482941020894,0.5521779650712142,0.9524190904829589
"frozenset({'alloy_speed, meter/minute_2.0', 'doc_requirement_DOC 34028-2016'})",frozenset({'kind_B 789/BC'}),0.7928120840326408,0.9997106314022802,0.792522715434921,0.999635009854734,0.9999243565636187,1.0,-5.995367670796892e-05,0.7928120840327404,-0.0003649901452661479,0.792522715434921,-0.2613329440103532,0.8961935614284668
"frozenset({'kind_B 789/BC', 'doc_requirement_DOC 34028-2016'})","frozenset({'alloy_speed, meter/minute_2.0'})",0.7950112853753111,0.8727935644423868,0.792522715434921,0.996869767780447,1.1421598513015279,1.0,0.09864198190027973,40.63801872685936,0.6071837196274429,0.9054482941020894,0.9753925011275449,0.9524498696338745
"frozenset({'alloy_speed, meter/minute_2.0'})","frozenset({'kind_B 789/BC', 'doc_requirement_DOC 34028-2016'})",0.8727935644423868,0.7950112853753111,0.792522715434921,0.9080299714873019,1.1421598513015279,1.0,0.09864198190027973,2.2288643152522956,0.9784552934123765,0.9054482941020894,0.551341015620861,0.9524498696338745
frozenset({'kind_B 789/BC'}),"frozenset({'alloy_speed, meter/minute_2.0', 'doc_requirement_DOC 34028-2016'})",0.9997106314022802,0.7928120840326408,0.792522715434921,0.7927521130021998,0.9999243565636186,1.0,-5.995367670796892e-05,0.99971063140228,-0.20724788699784052,0.792522715434921,-0.00028945235614234873,0.8961935614284668
frozenset({'doc_requirement_DOC 34028-2016'}),"frozenset({'alloy_speed, meter/minute_2.0', 'kind_B 789/BC'})",0.7953006539730308,0.872504195844667,0.792522715434921,0.9965070586523068,1.1421229415264798,1.0,0.09861955788544396,36.50098626463747,0.6079038265965842,0.9054482941020894,0.9726034800059962,0.9524190904829589
"frozenset({'workpiece_slice_geometry_180x180', 'kind_B 789/BC'})",frozenset({'doc_requirement_DOC 34028-2016'}),0.8678164245616066,0.7953006539730308,0.7935644423867122,0.9144381460486829,1.149801828378343,1.0,0.10338947240432905,2.3924136349761516,0.9856361513404595,0.9126123128119801,0.5820120796084794,0.9561275288531873
"frozenset({'workpiece_slice_geometry_180x180', 'doc_requirement_DOC 34028-2016'})",frozenset({'kind_B 789/BC'}),0.793853810984432,0.9997106314022802,0.7935644423867122,0.9996354888095065,0.9999248356570257,1.0,-5.9652233640683505e-05,0.7938538109844875,-0.000364511190493382,0.7935644423867123,-0.2596777721075157,0.8967148151469091
