RUL_class,mean,median,std
Critical,163.1727175925926,163.175,4.949168998905676
Low,163.58378680555558,163.296,5.212797177936474
Medium,164.22796296296295,163.8,5.360786559768273
Healthy,164.41508752025933,163.592,5.253133692450985
