RUL_class,mean,median,std
Critical,1540.900462962963,1541.0,4.4791346722311145
Low,1540.695601851852,1540.0,10.05807075536984
Medium,1540.8328373015872,1541.0,5.326762645650692
Healthy,1539.6408890946977,1540.0,8.324559486276039
