RUL_class,mean,median,std
Critical,0.0006777391975308642,0.0,0.0010688577049351702
Low,0.0008452083333333333,0.0,0.0011430189988347317
Medium,0.000909970238095238,0.0,0.0011618479485879277
Healthy,0.0013163000694605233,0.0013,0.0012175831301442818
