RUL_class,mean,median,std
Critical,6.493055555555556e-05,0.0001,6.79472049119419e-05
Low,6.664351851851852e-05,0.0001,7.632950804995156e-05
Medium,6.220238095238095e-05,0.0001,7.66197825899207e-05
Healthy,8.877054873813384e-05,0.0001,7.937541561134484e-05
