RUL_class,mean,median,std
Critical,0.045827160493827165,0.044,0.011294569723960946
Low,0.04654467592592593,0.0448,0.011829952229366128
Medium,0.044880291005291,0.0436,0.011114800251691342
Healthy,0.046958763602685805,0.0454,0.01241541801147419
