RUL_class,mean,median,std
Critical,0.00615883487654321,0.0054,0.0033411737146288225
Low,0.006214212962962963,0.0057,0.003272012823143004
Medium,0.005750181878306878,0.005,0.0035014537791999982
Healthy,0.006459736050011576,0.0058,0.00347790578470908
