RUL_class,mean,median,std
Critical,2.0397376543209877,2.0,0.2298683374640418
Low,2.1418981481481483,2.0,0.3581539310023989
Medium,2.2002314814814814,2.0,0.40267824968284616
Healthy,2.0395924982634868,2.0,0.20767448051146603
