,PCA1,PCA2,tSNE1,tSNE2,UMAP1,UMAP2
0,4.659747321832702,-1.2594923452021352,50.22587,-4.574352,19.414183,3.3938217
1,4.024668247479409,3.2046575237245634,43.25686,-3.241532,19.623312,3.221974
2,4.343523761449167,2.3545439333293134,50.498127,-8.210149,19.720257,2.8982987
3,3.9420497955257146,4.053291459901961,58.714794,-5.733041,18.947033,2.5161097
4,4.417106544125381,2.5506704193232,50.896954,-8.033127,19.619457,2.8840194
5,4.543193516329389,2.18462498701005,49.33488,-8.814547,19.844015,2.894384
6,4.1985950550875275,2.0532025467482553,54.687843,-4.3390293,19.067028,3.096165
7,1.5458223945741514,-6.337311787378275,13.891287,8.498092,8.184494,7.414933
8,4.209739522865041,2.1822893903122007,50.078766,-8.071536,19.73139,2.8576899
9,4.563827958942799,2.8559234035577297,48.525978,-9.455019,19.971054,2.9291558
10,4.591349810268098,3.538448656741034,53.61024,-7.203611,19.461226,2.8177087
11,4.361952893138424,2.448201004951821,48.37406,-9.304731,19.965092,2.930672
12,4.584929766400285,2.711578665048159,48.077614,-9.720495,19.97857,2.9305964
13,3.962445276445255,3.1971568675689834,51.800293,-8.802278,19.65579,2.772077
14,4.503894810430512,3.001309058612913,54.750862,-6.9698777,19.310421,2.7408433
15,3.5384855641823454,-0.48185713947460446,39.380997,35.270664,11.61202,11.089498
16,2.85444141876502,-2.3294022436799358,-8.675386,5.697259,5.6525435,4.952775
17,3.3049245350661325,0.5538019538624146,31.56397,42.95611,11.245359,12.1367445
18,4.201467701334579,1.3375156312082408,49.32158,-8.221449,19.824993,3.0319984
19,4.406007209685934,2.910089490410812,48.453392,-9.706491,19.981983,2.9252703
20,4.7372646035676205,2.859944793259815,50.620064,-9.397408,19.783695,2.80309
21,4.407939988537273,2.4886552279350105,50.177193,-7.559593,19.720928,2.837638
23,4.647152763826278,2.7190792284139973,43.418118,-3.6042576,19.666708,3.2154088
24,4.424175890564416,2.455701568317659,43.538338,-2.9129093,19.59085,3.2128034
25,4.653572807694091,3.5459492201068725,47.744846,-2.122047,19.384045,3.193708
26,4.908831960044626,2.725983765136217,53.862988,-2.9104486,19.26052,3.3748589
27,4.626050929976953,2.8634240597133096,43.538338,-2.9129093,19.59085,3.2128034
28,4.460790874945496,2.495166634488564,45.034374,-3.608045,19.568752,3.1893783
29,4.458858016918642,2.916601175333591,43.957947,-3.24859,19.635204,3.2335086
30,2.9166644161910122,-2.321901680314097,-8.676794,5.696639,5.6509805,4.958671
31,3.3671474797084486,0.5613027028077363,26.287457,38.868973,10.692281,11.761847
32,4.263690619585056,1.345016472943304,45.36779,-3.7086663,19.599218,3.204183
33,4.468230233503765,2.917589960986909,43.871754,-3.0135303,19.621317,3.2276084
34,4.799487706560965,2.867444985466687,43.538338,-2.9129093,19.59085,3.2128036
35,4.470163091530619,2.496155420141882,45.034374,-3.608045,19.568752,3.1893783
36,4.9616824505752755,2.732496563535896,52.78368,3.8381112,18.759497,3.598004
37,4.7125978651470275,-1.2529797323819398,48.641354,-1.9284508,19.41778,3.5920913
38,4.396374251979816,2.361056731728992,45.84816,-3.7423797,19.577501,3.1772459
