RUL_class,mean,median,std
Critical,0.3323719135802469,0.323,0.03364255471811936
Low,0.3337085648148148,0.323,0.04823904857703907
Medium,0.33360185185185187,0.323,0.0512048601004785
Healthy,0.34397221579069226,0.323,0.07145812551524572
