KMeans_Cluster,mean,median,std
0,5.3765517241379316e-05,0.0,0.000445808013564711
1,0.003744912012241775,0.0036,0.0006379033866738649
2,0.0026958333333333335,0.0036,0.0017209049715523775
3,0.0029235613647937532,0.0027,0.0006753744710583335
4,9.985734664764623e-06,0.0,0.00017283429469154067
