RUL_class,mean,median,std
Critical,0.0011288966049382717,0.001,0.0005461862598489194
Low,0.0010075694444444444,0.0009,0.000540399053148953
Medium,0.000947635582010582,0.0009,0.0005096758810180665
Healthy,0.0009942810835841629,0.0009,0.0005006176691482162
