KMeans_Cluster,mean,median,std
0,0.04290057931034483,0.0427,0.008280460003902394
1,0.05512390971690895,0.0545,0.012311066531848288
2,0.0508037037037037,0.0472,0.013684158035712091
3,0.04084668137837379,0.0413,0.008742006998012624
4,0.041764384213029006,0.0418,0.007389801339229671
