RUL_class,mean,median,std
Critical,0.000971219135802469,0.001,0.00034670692498094536
Low,0.0010018287037037036,0.001,0.0004150378746879623
Medium,0.0010669477513227514,0.0011,0.00045097011640326374
Healthy,0.0010598981245658718,0.001,0.0005312500127073667
