,Anomaly_IsoForest,AnomalyScore_IsoForest,Anomaly_LOF,AnomalyScore_LOF,Anomaly_OCSVM,AnomalyScore_OCSVM
0,-1,-0.012361143928351692,-1,-0.18275618117415648,-1,3.092202847578347
1,1,0.04872549347908817,1,0.2980343178487701,1,5.986646166312585
2,1,0.026791874315879982,1,0.2958069187745018,1,6.129853864224514
3,1,0.018581420538525795,1,0.22135462701136888,1,5.07804427167512
4,1,0.0424261799065101,1,0.34424773370086226,1,5.60488743530478
5,1,0.04132095879812292,1,0.3356719743389218,1,5.495366482604434
6,1,0.03784097850132384,1,0.23549648449762306,1,6.105915585045257
7,-1,-0.028276074437482757,-1,-2.380157346967838,-1,0.0019394706828643749
8,1,0.01878469900930574,1,0.3674475900941121,1,5.953769013849268
9,1,0.049251266375771596,1,0.3825953339442332,1,5.936442914807898
10,1,0.005311172111465923,1,0.21592706630129066,1,4.867689861259
11,1,0.03730350145437572,1,0.37806329677337125,1,5.918483005482753
12,1,0.028486132803729802,1,0.3869213195987762,1,5.77082514706021
13,1,0.046580536481662826,1,0.34149762727707356,1,5.886486869476761
14,1,0.04598967330647813,1,0.3523882100634028,1,5.868596166673102
15,-1,-0.06956237414826733,-1,-0.08795746570780372,-1,3.1046653627067293
16,-1,-0.0034693753679707617,-1,-5.277135042601492,-1,0.11383541768355165
17,1,0.033656724612870725,-1,-0.004758221326896184,1,5.77288389694436
18,1,0.027500914737940974,1,0.129605803918168,1,5.428174811869292
19,1,0.03325181494366286,1,0.38525519320676693,1,6.077757473169397
20,1,0.032024425297911274,1,0.361597129250784,1,5.8515479922428675
21,1,0.04314258118164832,1,0.3303912317401656,1,5.667360043051968
23,1,0.027192365450929623,1,0.3416104744601831,1,5.843309529083897
24,1,0.03899138375630962,1,0.33507614521192086,1,6.030959360210423
25,1,0.00894658320141617,1,0.18420122031631014,1,5.057779532335863
26,1,0.013739898699289932,-1,-0.022855302972539793,1,5.005451038166704
27,1,0.04848478887698371,1,0.3302079364858852,1,6.071593863046198
28,1,0.043762194702670454,1,0.31023484771284826,1,5.990280982587561
29,1,0.03523963878469627,1,0.36840277574377533,1,6.467101281229004
30,-1,-0.0014274397968433439,-1,-5.135429725189463,-1,0.10617220413454476
31,1,0.02876731118126541,-1,-0.06421582823641203,1,5.901956520033017
32,1,0.0294901334038431,1,0.11738049975063247,1,5.539654212632275
33,1,0.03713632563873309,1,0.35523378070004386,1,6.245874904215298
34,1,0.037214584713848364,1,0.31501113279073456,1,5.995583580319196
35,1,0.046521084754064024,1,0.2982541426844012,1,5.778589028406103
36,1,0.014053941976302275,-1,-0.0313198358635689,1,5.284343843773045
37,-1,-0.016501803319355857,-1,-0.10349142711728843,-1,3.0606434453970444
38,1,0.022212329944064246,1,0.31225837767348374,1,6.514389246147104
39,1,0.017764226648177395,1,0.2320051552707041,1,5.361613805081044
40,1,0.04102837339081061,1,0.2731625582043906,1,5.93254964574697
41,1,0.042143443482130394,1,0.31834549830188985,1,5.799802267109211
42,1,0.03943713334436866,1,0.17218455845730984,1,6.376376843110537
43,-1,-0.032953515220201346,-1,-2.2201194556823145,-1,0.0015495691389464383
44,1,0.015138588544914677,1,0.320366900299186,1,6.254402977957648
45,1,0.04663579747877333,1,0.32637716810953066,1,6.290728436625962
46,1,0.007027921228142275,1,0.2226742045069272,1,5.228751483150407
47,1,0.03602492794505613,1,0.3226828625705225,1,6.25308199611229
48,1,0.024729317215782365,1,0.3606991232469219,1,6.0635176953471985
49,1,0.04657866676431249,1,0.314628367779614,1,6.208323287466181
50,1,0.04127658191752015,1,0.3630785087655537,1,6.240324238069141
51,-1,-0.07682473264992934,-1,-0.046360742162621316,-1,3.4094236752437364
52,-1,-0.002625176827458553,-1,-5.024365818086404,-1,0.11216225393331136
53,1,0.02887133399171804,-1,-0.044428191823016716,1,6.121675837359253
54,1,0.023477603514301726,1,0.12370986233605885,1,5.743787462745258
55,1,0.03331356903967664,1,0.32530833984766994,1,6.210712925134811
56,1,0.017987578495523626,1,0.3132024384211949,1,6.0256007133762735
57,1,0.043449170131366344,1,0.33873681092835617,1,6.0262258377650255
58,1,0.043035519796109034,1,0.11520669981667297,1,6.136394793404652
59,1,0.045212350932410106,1,0.3046690217064878,1,5.593080295111547
60,1,0.04290083310453563,1,0.27674498665519787,1,5.724365175282395
61,1,0.02100078015314999,1,0.20079669408910816,1,5.171376948743951
63,1,0.02447754657176726,1,0.29229747033646025,1,6.288170468731592
64,1,0.016254338229886922,-1,-0.041611642078951405,1,5.095609890674705
65,-1,-0.012641023253216976,-1,-0.1322241261816186,-1,2.915104087679242
66,1,0.03348037506277979,1,0.1488219630873613,1,5.540089511198746
67,1,0.03491507694059248,1,0.1197187051688271,1,4.855943274723638
68,1,0.027094581215719893,1,0.13198189511445735,1,4.892722565897259
69,1,0.0555340061780748,1,0.10618930415709515,1,6.078626730064023
70,1,0.08655454563936738,1,0.28392498589379334,1,7.324753050047464
71,1,0.07850544655537067,1,0.25901590104738514,1,7.057360325080664
72,1,0.043726568399239885,1,0.049986767267284016,1,5.892215613984518
73,1,0.021453388296859888,1,0.08187618849038514,-1,4.628960452770886
74,1,0.06487844513965058,1,0.09780978741187552,1,6.104320431108216
75,1,0.07342396864947315,1,0.24093189374778778,1,6.768517707381547
76,1,0.04435245137892052,1,0.01613742715838229,1,5.661029260696948
77,1,0.019552064927823742,1,0.09691127669289235,1,5.04069771226784
78,1,0.023537767287815148,1,0.04336786184189134,-1,4.412622353420973
79,1,0.025385239679824034,1,0.13701931429879077,-1,4.821241104045537
80,1,0.025874622544795833,1,0.17637492858496073,1,5.496017384800519
81,1,0.05506862435765275,1,0.09509344870596781,1,5.950099039123172
82,1,0.0815856982911356,1,0.2743998732002726,1,7.183098005603162
83,1,0.0211177832901962,1,0.11677697496544792,1,5.285015779890598
84,1,0.09023738933634501,1,0.28364913395100455,1,7.33333563985072
85,1,0.02695813370578881,1,0.1798462701394341,1,5.57886885908538
86,1,0.06264389071854765,1,0.09972578238091678,1,6.002423659113189
87,1,0.02767217803770855,1,0.12421073198243682,1,4.893961085981886
88,1,0.027684111344494056,1,0.151324573756779,1,5.582042497336189
89,1,0.05436086342182045,1,0.10694419767161856,1,6.122620391857064
90,1,0.08705769736016827,1,0.2917107589553878,1,7.364256064253795
91,1,0.034346559745217664,1,0.12355773366064327,1,4.901789985721439
92,1,0.03276353042285568,1,0.1532231812441247,1,5.590380344976918
93,1,0.08973822364603795,1,0.2841063642332611,1,7.363243859761164
94,1,0.07808917420398165,1,0.2462652142138062,1,6.845360292889825
95,1,0.08774423279021148,1,0.2751198249782938,1,7.241809880594334
96,1,0.05101345667347207,1,0.08299347253083877,1,5.65639312232711
97,1,0.024435633893430342,1,0.12207620293130206,1,5.267516968911532
98,1,0.020992507873715427,1,0.10342337629976384,-1,4.621792008996202
99,1,0.0660231621707364,1,0.1081494704753645,1,6.118051366199277
100,1,0.0292262799433865,1,0.17201462297777792,1,5.532664984972019
101,1,0.030201960813721784,1,0.14734284282574284,1,4.853015366226474
102,1,0.06317658976929275,1,0.37977122857269063,1,6.604837336041886
103,1,0.047833774057094824,1,0.3688300824190007,1,6.671867278752357
104,1,0.06584624121293159,1,0.4084638110601988,1,6.729175651848348
105,1,0.042990781861687255,1,0.3001225808509662,1,6.177037375810053
106,1,0.0613536200067924,1,0.3397236689086567,1,6.570223679687753
107,1,0.06494007802792101,1,0.3564102945460941,1,6.487047281865786
108,1,0.08694588196913688,1,0.4116278744495576,1,7.245924469279834
109,1,0.04266573910676452,1,0.08109393199947701,1,5.231690257368831
110,1,0.09546985769064015,1,0.38627966994998886,1,7.903835152352195
111,1,0.07634598414463645,1,0.354155327365284,1,6.179216655177304
112,1,0.03242534799099367,1,0.248086213532122,1,5.602219496637382
113,1,0.02200168407025166,-1,-0.3979769278916909,-1,3.8652595618143284
114,-1,-0.0004833436453859363,1,0.0005071561504450539,-1,3.8251024471485535
115,1,0.018358057856930232,-1,-0.4081679108251859,-1,3.8516264091576002
116,1,0.052492958686256475,1,0.28895170261948033,1,5.444861788222742
117,1,0.07914658311136841,1,0.2950653804828287,1,7.364354553189898
118,1,0.08452061914404935,1,0.404192607593407,1,7.310557078716197
119,1,0.06921301546150938,1,0.35968501536199526,1,6.8558261343158104
120,1,0.05718617529305653,1,0.35551403312009766,1,6.443429891694653
121,1,0.0643861370655271,1,0.35793633284014326,1,6.363603837974151
122,1,0.02865834278192031,1,0.26808311475641644,1,5.499690179852313
123,1,0.07421502714999484,1,0.4123536021042269,1,5.564756230195875
124,1,0.06848723346717539,1,0.3402337907084876,1,5.094309425920245
125,1,0.06657717530987978,1,0.22015738364157866,1,4.913605438627989
126,1,0.07484309635661157,1,0.4002681102209269,1,5.930973692167579
127,1,0.038339730165809105,1,0.2755277317254883,1,6.047360283035054
128,1,0.07360586985173978,1,0.311694511394091,1,5.471581495652977
129,1,0.07360682408546237,1,0.3760451391931241,1,6.731315184720129
130,1,0.04389765834107662,-1,-2.272381072426616,-1,1.0016410517363092
131,1,0.06885168670242248,1,0.38962922598561667,1,6.719479386835758
132,1,0.09808784485871364,1,0.3866772175995703,1,7.354083959169064
133,1,0.09559760902759462,1,0.3945371423602124,1,7.494263071769476
134,1,0.09247468309821383,1,0.4141003219112138,1,7.640260899003092
135,1,0.08768057896233494,1,0.3672369178714865,1,6.814259356255227
136,1,0.07722797081622806,1,0.19974396583913534,1,6.247478886363798
137,1,0.0931968672117498,1,0.3749845630471731,1,7.091709579383388
138,1,0.07289525262027785,1,0.40743868844381237,1,5.444518535835227
139,1,0.045050328770265435,1,0.36095959859732285,1,6.541099261209504
140,1,0.07914658311136841,1,0.2999122186583556,1,7.396229944298238
141,1,0.08452061914404935,1,0.4026843801029867,1,7.35115148177042
142,1,0.06921301546150938,1,0.3565163205023376,1,6.894947877113416
143,1,0.08768057896233494,1,0.3645407841565427,1,6.8558158222269405
144,1,0.09247468309821383,1,0.42045464136748667,1,7.669875196483137
145,1,0.09559760902759462,1,0.4035314008958917,1,7.53140867369235
146,1,0.09808784485871364,1,0.39030297648382617,1,7.394668173338395
147,1,0.06885168670242248,1,0.3860484823615551,1,6.73775313862917
148,1,0.0931968672117498,1,0.38482090477846076,1,7.128273461146776
149,1,0.07360682408546237,1,0.3820156249825397,1,6.746793660718248
150,1,0.09546985769064015,1,0.38550987769569467,1,7.948358262061667
151,1,0.07722797081622806,1,0.19933976410290888,1,6.2847134756334375
152,1,0.07484309635661157,1,0.40473824114938695,1,5.971191421922725
153,1,0.06657717530987978,1,0.22003791191958189,1,4.943329256006668
154,1,0.06848723346717539,1,0.3489864673968044,1,5.1285242144127015
155,1,0.07421502714999484,1,0.4141052962601881,1,5.601900647874843
156,1,0.04389765834107662,-1,-2.271404546683666,-1,1.0085713031166508
157,1,0.08694588196913688,1,0.40681003895518053,1,7.289299449081021
158,1,0.07740529117080758,1,0.19973860028767798,1,6.118768063056534
159,1,0.07415686834562607,1,0.3041632406879471,1,5.353598418643417
160,1,0.07516478297136098,1,0.39462396456904036,1,5.802028492396538
161,1,0.06818397212045052,1,0.20395667598272493,-1,4.812223832031261
162,1,0.07360586985173978,1,0.3238641613112925,1,5.508134676368609
163,1,0.08548612705694852,1,0.40961385938631123,1,7.1573602848762885
164,1,0.047833774057094824,1,0.364506527496562,1,6.706897820098372
165,1,0.042990781861687255,1,0.2973515180781581,1,6.215538231953495
166,1,0.09190369732129028,1,0.38587263825563367,1,7.7445839138106916
167,1,0.07693841390621475,1,0.2819325716182306,1,7.229759658624385
168,1,0.0817346673346167,1,0.3973211866808979,1,7.164248780506984
169,1,0.06668732892631146,1,0.35027771667930563,1,6.716954346480879
170,1,0.08339195030878,1,0.3687736063223066,1,6.672473013720278
171,1,0.09136191228627005,1,0.4104013676504705,1,7.5058023208114975
172,1,0.0944936147950956,1,0.37378346819417496,1,7.350470861257144
173,1,0.09714484108331484,1,0.380476587213866,1,7.2071471223673305
174,1,0.06781460365918396,1,0.3878239696947927,1,6.6122995357520615
175,1,0.09052234898213324,1,0.3538918426773201,1,6.954191173543436
176,1,0.06584624121293159,1,0.41156721213733194,1,6.759173588852493
177,1,0.08560146009820163,1,0.40660770950954017,1,7.096626689353612
178,1,0.07378570598097406,1,0.35184919931414105,1,6.628069533189769
179,1,0.06917845944666928,1,0.32583921733915133,1,4.984177632031708
180,1,0.0576361851080871,1,0.27145183330346856,1,5.571407069256401
181,1,0.0467190606306781,1,0.08809038398222357,1,5.324331732826442
182,1,0.08009304963309782,1,0.3619419382117903,1,6.323523816004343
183,1,0.0031261450988026573,-1,-0.015873235898169025,-1,3.8845760019565736
184,1,0.02200168407025166,-1,-0.3952763004505033,-1,3.8417425822802254
185,1,0.03242534799099367,1,0.24101804041486563,1,5.626637053304755
186,1,0.06494007802792101,1,0.3677400624242748,1,6.518735842271467
187,1,0.0613536200067924,1,0.3462111409447599,1,6.6036224698442885
188,1,0.03969387483390352,-1,-2.2418396502604736,-1,0.9784736457858632
189,1,0.0423536067378778,-1,-2.2402528215928754,-1,0.9878537745006462
190,1,0.07126042755742279,1,0.34642008382738276,1,6.604840231907175
191,1,0.0690584243254449,1,0.33236241861651994,1,5.02853388361532
192,1,0.08009304963309782,1,0.35903872240284795,1,6.2953447402622515
193,1,0.0031261450988026573,-1,-0.009733297782379635,-1,3.8796707816053315
194,1,0.05425224169722365,1,0.29273206789245787,1,5.487364621232559
195,1,0.0444646815307943,1,0.08613877906094825,1,5.267123840012255
196,1,0.07800900422163809,1,0.3386461556164384,1,6.227576954425788
197,1,0.00043660879558182764,1,0.0040844232724353,-1,3.849500702138633
198,1,0.01993823264589817,-1,-0.4039580553619071,-1,3.8626971345057126
199,1,0.02952346103029091,1,0.2699510429218217,1,5.542478545410551
200,1,0.06518402843059079,1,0.359233945443598,1,6.414659899541285
201,1,0.058926518031600206,1,0.3568131725052528,1,6.495701381026609
202,1,0.04052217560908311,1,0.29505333338610007,1,6.099945735467265
203,1,0.06368948314412959,1,0.4018717312511293,1,6.656650162870784
204,1,0.04624597015350823,1,0.36451561787385955,1,6.594888154291464
205,1,0.0932366421234202,1,0.3908594171465445,1,7.809714907630022
206,1,0.07682060054258616,1,0.2911734283880536,1,7.2859633170922145
207,1,0.08195025471066691,1,0.40140050904268776,1,7.224149523750993
208,1,0.06812233950589014,1,0.35623239251264316,1,6.773691305239326
209,1,0.08188725619677295,1,0.37067508253353165,1,6.730076053196877
210,1,0.09269667834535084,1,0.40854187533709974,1,7.56239690252104
211,1,0.09581785336708565,1,0.38441589873022974,1,7.409892655045534
212,1,0.09796749374332803,1,0.3836331437714404,1,7.267341846526796
213,1,0.06872232134773426,1,0.3905770343206434,1,6.65848399070375
214,1,0.09185993730540454,1,0.3599934820871955,1,7.010814252136505
215,1,0.07276646780203322,1,0.36086367585477075,1,6.672986057250913
216,1,0.07277628165651834,1,0.4086850135745461,1,5.4929859912894825
217,1,0.055085221593112244,1,0.09555324757373951,1,5.317299929651215
218,1,0.08634148664196972,1,0.3582839555592243,1,6.322814833872327
219,1,0.0467190606306781,1,0.08646917642235152,1,5.31282881386075
220,1,0.0576361851080871,1,0.29740151479280197,1,5.546839575656765
221,1,0.08734825939338647,1,0.4014821550139607,1,7.268258889796046
222,1,0.0450421450606035,-1,-2.272723314960756,-1,1.0058851645709446
223,1,0.06264928764926014,1,0.23379998884042053,1,5.5421411745980675
224,1,0.05258581343313962,1,0.09626739078715474,1,5.277338684228766
225,1,0.08335344975386183,1,0.34066621487968907,1,6.290794482799767
226,1,0.00961431818695524,-1,-0.029667230299915248,-1,3.8446227223519354
227,1,0.026776448038692502,-1,-0.40707411427794726,-1,3.758838940594395
228,1,0.03631629818375015,1,0.23337079500399693,1,5.596372333398316
229,1,0.0689336757366581,1,0.3463993139621955,1,6.489057706364552
230,1,0.06593971395367076,1,0.3297077395467485,1,6.575638075349483
231,1,0.04823579124844657,1,0.27836499971337436,1,6.199710408252093
232,1,0.06955195620812454,1,0.39680649713880056,1,6.723593549232139
233,1,0.05391054086428404,1,0.3640379589698237,1,6.67974700242616
