KMeans_Cluster,mean,median,std
0,0.17619878620689655,0.1798,0.021782639706106274
1,0.18387209257842388,0.187,0.018681695602511157
2,0.5997398148148149,0.6265,0.08140254553994776
3,0.16370913257511457,0.1579,0.020757495950713353
4,0.18797280076081788,0.1863,0.01016677964153371
