IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
-1,-1,-1,118.0,0.005766949152542374,0.0053514924044286375,0.0014,0.002025,0.0039,0.00665,0.0242
-1,-1,1,32.0,0.004253125,0.0015152950048135522,0.0016,0.0027,0.00455,0.0055,0.0076
-1,1,-1,252.0,0.004787301587301587,0.004671563276520113,0.0012,0.0018,0.0033,0.0055,0.0208
-1,1,1,462.0,0.006826190476190478,0.004224197698211466,0.0011,0.0036,0.0056,0.00955,0.0183
1,-1,-1,247.0,0.0075518218623481775,0.00547643016186014,0.0019,0.0041,0.0059,0.009,0.0317
1,-1,1,467.0,0.0065593147751606,0.0038637489246372237,0.0014,0.0035,0.0059,0.0076,0.019
1,1,-1,247.0,0.00658582995951417,0.003909920884181954,0.0013,0.0042,0.0055,0.00795,0.0217
1,1,1,15454.0,0.006066642940339071,0.003279311759616174,0.001,0.0035,0.0054,0.0081,0.0228
