RUL_class,count,mean,std,min,25%,50%,75%,max
Critical,5762.0,0.0026222492190211733,0.0015853876035590616,0.0001,0.0016,0.0025,0.0032,0.0188
Low,5757.0,0.0024855480284870593,0.0015887962058094586,0.0001,0.0014,0.0023,0.0031,0.0188
Healthy,5760.0,0.0028413368055555553,0.0015782263309023859,0.0001,0.0018,0.0027,0.0034,0.0178
