IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
-1,-1,-1,118.0,0.013777966101694919,0.00467822991569891,0.0073,0.009975,0.0126,0.0176,0.0241
-1,-1,1,32.0,0.013659375,0.00359971857098893,0.0081,0.0101,0.0154,0.015425000000000001,0.0233
-1,1,-1,252.0,0.012442857142857143,0.0041190245348811366,0.0055,0.009524999999999999,0.01175,0.0145,0.0261
-1,1,1,462.0,0.01453138528138528,0.004048130956052854,0.0071,0.0113,0.0135,0.0172,0.0243
1,-1,-1,247.0,0.016182995951417003,0.005074393144459384,0.0076,0.0117,0.0151,0.0191,0.0387
1,-1,1,467.0,0.01579678800856531,0.005515741262798605,0.0053,0.0115,0.0155,0.0209,0.0278
1,1,-1,247.0,0.01558016194331984,0.005843095012342453,0.0054,0.0114,0.0143,0.0164,0.0387
1,1,1,15454.0,0.015012572796686942,0.004146838139717814,0.0052,0.0121,0.0146,0.0175,0.0387
