RUL_class,count,mean,std,min,25%,50%,75%,max
Critical,5762.0,1.8000000000000005,4.4412775089677e-16,1.8,1.8,1.8,1.8,1.8
Low,5757.0,1.8000000000000005,4.441277843743352e-16,1.8,1.8,1.8,1.8,1.8
Healthy,5760.0,1.8000000000000003,2.220638821404103e-16,1.8,1.8,1.8,1.8,1.8
