IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
-1,-1,-1,118.0,1.800000000000001,8.919659781181884e-16,1.8,1.8,1.8,1.8,1.8
-1,-1,1,32.0,1.8,0.0,1.8,1.8,1.8,1.8,1.8
-1,1,-1,252.0,1.8000000000000003,2.224864851728873e-16,1.8,1.8,1.8,1.8,1.8
-1,1,1,462.0,1.8000000000000007,6.668559112632883e-16,1.8,1.8,1.8,1.8,1.8
1,-1,-1,247.0,1.8000000000000007,6.674863721368337e-16,1.8,1.8,1.8,1.8,1.8
1,-1,1,467.0,1.8000000000000005,4.445654450644955e-16,1.8,1.8,1.8,1.8,1.8
1,1,-1,247.0,1.8000000000000007,6.674863721368337e-16,1.8,1.8,1.8,1.8,1.8
1,1,1,15454.0,1.8000000000000005,4.441035786465931e-16,1.8,1.8,1.8,1.8,1.8
