IsolationForest,count,mean,std,min,25%,50%,75%,max
-1,175.0,0.1427160590506741,1.0137976515130198,-0.390146921,-0.390146921,-0.133962796,-0.133962796,3.452614954706521
1,17328.0,-0.0014413265563103436,0.9998142874576306,-0.390146921,-0.133962796,-0.133962796,-0.133962796,20.104583084240257
