GMM,count,mean,std,min,25%,50%,75%,max
0,2314.0,-0.019377416016763183,0.5677969915042765,-0.390146921,-0.390146921,-0.133962796,0.1222213287997736,3.452614954706521
1,2499.0,0.023602230031908245,0.5149174495026861,-0.390146921,-0.133962796,-0.133962796,0.1222213287997736,3.452614954706521
2,12690.0,-0.0011144703247302115,1.1261619808751957,-0.390146921,-0.133962796,-0.133962796,-0.133962796,20.104583084240257
