Hierarchical,count,mean,std,min,25%,50%,75%,max
0,633.0,0.033588906620725716,0.7522485051556759,-0.390146921,-0.390146921,-0.133962796,-0.133962796,3.452614954706521
1,2142.0,-0.03816285014639991,0.4956878561267924,-0.390146921,-0.390146921,-0.133962796,0.1222213287997736,3.196430829636772
2,14728.0,0.004106671027212892,1.0621747597976827,-0.390146921,-0.133962796,-0.133962796,-0.133962796,20.104583084240257
