KMeans,Hierarchical,DBSCAN,GMM,IsolationForest,LOF,OneClassSVM,date,count
1,0,-1,1,1,-1,1,2020-05-07,2
1,0,-1,1,1,-1,1,2020-08-22,2
1,0,-1,1,1,1,-1,2020-08-18,4
1,0,-1,1,1,1,-1,2020-04-08,1
1,0,-1,1,1,1,-1,2020-08-19,1
1,0,-1,1,1,1,1,2020-03-07,39
1,0,-1,1,1,1,1,2020-03-09,24
1,0,-1,1,1,1,1,2020-08-16,24
1,0,-1,1,1,1,1,2020-08-18,12
1,0,-1,1,1,1,1,2020-08-25,12
1,0,-1,1,1,1,1,2020-02-08,11
1,0,-1,1,1,1,1,2020-04-07,10
1,0,-1,1,1,1,1,2020-05-07,10
1,0,-1,1,1,1,1,2020-08-20,8
1,0,-1,1,1,1,1,2020-08-24,8
1,0,-1,1,1,1,1,2020-03-05,7
1,0,-1,1,1,1,1,2020-08-19,7
1,0,-1,1,1,1,1,2020-08-23,7
1,0,-1,1,1,1,1,2020-08-26,7
1,0,-1,1,1,1,1,2020-04-08,5
1,0,-1,1,1,1,1,2020-05-08,5
1,0,-1,1,1,1,1,2020-02-05,4
1,0,-1,1,1,1,1,2020-08-17,4
1,0,-1,1,1,1,1,2020-08-22,2
1,0,-1,2,-1,-1,-1,2020-01-05,4
1,0,-1,2,-1,-1,-1,2020-08-25,4
1,0,-1,2,-1,-1,-1,2020-03-05,3
1,0,-1,2,1,-1,-1,2020-08-23,3
1,0,-1,2,1,-1,-1,2020-05-30,2
1,0,-1,2,1,-1,-1,2020-08-19,2
1,0,-1,2,1,-1,-1,2020-08-24,2
1,0,-1,2,1,-1,-1,2020-03-05,1
1,0,-1,2,1,-1,-1,2020-04-09,1
1,0,-1,2,1,-1,1,2020-02-05,4
1,0,-1,2,1,-1,1,2020-03-05,4
1,0,-1,2,1,-1,1,2020-08-20,4
1,0,-1,2,1,-1,1,2020-05-08,2
1,0,-1,2,1,-1,1,2020-08-19,2
1,0,-1,2,1,-1,1,2020-04-08,1
1,0,-1,2,1,-1,1,2020-05-07,1
1,0,-1,2,1,1,-1,2020-03-09,5
1,0,-1,2,1,1,-1,2020-08-23,3
1,0,-1,2,1,1,-1,2020-08-24,2
1,0,-1,2,1,1,-1,2020-08-26,1
1,0,-1,2,1,1,1,2020-03-05,10
1,0,-1,2,1,1,1,2020-03-09,7
1,0,-1,2,1,1,1,2020-08-16,4
1,0,-1,2,1,1,1,2020-08-18,4
1,0,-1,2,1,1,1,2020-08-19,4
1,0,-1,2,1,1,1,2020-08-20,4
1,0,-1,2,1,1,1,2020-04-09,3
1,0,-1,2,1,1,1,2020-08-26,3
1,0,-1,2,1,1,1,2020-03-08,2
1,0,-1,2,1,1,1,2020-05-07,1
1,0,2,1,1,1,1,2020-01-06,9
1,0,3,1,1,1,-1,2020-01-06,1
1,0,3,1,1,1,1,2020-01-06,8
1,0,4,1,1,1,1,2020-01-06,9
1,0,5,1,1,1,1,2020-01-06,9
1,0,5,1,1,1,1,2020-05-31,9
1,0,6,1,1,1,1,2020-01-07,6
1,0,7,1,1,1,1,2020-01-07,12
1,0,8,1,1,1,1,2020-01-07,24
1,0,8,1,1,1,1,2020-06-07,7
1,0,9,1,1,1,1,2020-01-07,36
