IsolationForest,LOF,OneClassSVM,date,count
1,1,1,2020-06-08,249
1,1,1,2020-07-26,247
1,1,1,2020-05-31,244
1,1,1,2020-07-13,244
1,1,1,2020-01-10,242
1,1,1,2020-07-08,232
1,1,1,2020-05-17,231
1,1,1,2020-07-27,228
1,1,1,2020-07-31,222
1,1,1,2020-06-07,218
1,1,1,2020-05-28,217
1,1,1,2020-03-05,214
1,1,1,2020-07-29,214
1,1,1,2020-08-09,214
1,1,1,2020-06-09,211
1,1,1,2020-07-25,210
1,1,1,2020-05-18,209
1,1,1,2020-05-23,209
1,1,1,2020-05-21,204
1,1,1,2020-05-29,203
1,1,1,2020-05-27,196
1,1,1,2020-03-09,193
1,1,1,2020-07-22,192
1,1,1,2020-07-30,190
1,1,1,2020-05-26,189
1,1,1,2020-02-08,188
1,1,1,2020-05-07,188
1,1,1,2020-07-16,186
1,1,1,2020-08-15,186
1,1,1,2020-07-18,184
1,1,1,2020-08-08,183
1,1,1,2020-04-09,180
1,1,1,2020-05-24,180
1,1,1,2020-05-30,175
1,1,1,2020-07-09,175
1,1,1,2020-08-21,175
1,1,1,2020-04-07,172
1,1,1,2020-08-17,172
1,1,1,2020-05-08,166
1,1,1,2020-01-08,163
1,1,1,2020-01-07,160
1,1,1,2020-05-20,156
1,1,1,2020-08-05,150
1,1,1,2020-05-13,149
1,1,1,2020-05-14,149
1,1,1,2020-08-14,148
1,1,1,2020-05-05,141
1,1,1,2020-05-16,140
1,1,1,2020-08-25,134
1,1,1,2020-08-13,132
1,1,1,2020-07-28,131
1,1,1,2020-08-19,131
1,1,1,2020-01-09,126
1,1,1,2020-07-20,126
1,1,1,2020-08-18,124
1,1,1,2020-08-26,123
1,1,1,2020-07-07,116
1,1,1,2020-08-16,116
1,1,1,2020-03-07,115
1,1,1,2020-04-08,109
1,1,1,2020-02-09,96
1,1,1,2020-08-20,80
1,1,1,2020-08-24,80
1,1,1,2020-08-23,79
1,1,1,2020-08-07,77
1,1,1,2020-02-07,73
1,1,1,2020-08-22,69
1,1,1,2020-07-21,66
1,1,1,2020-02-05,57
1,1,1,2020-07-05,53
1,1,1,2020-01-05,42
1,1,1,2020-01-06,35
1,1,1,2020-05-15,25
1,1,1,2020-02-10,18
