RUL_class,count,mean,std,min,25%,50%,75%,max
Critical,5762.0,8.720409580006942,2.5998070453480477,5.0,7.0,7.0,12.0,13.0
Low,5757.0,9.306235886746569,2.665348712942073,5.0,7.0,7.0,13.0,13.0
Healthy,5760.0,9.0890625,2.7687171346203274,5.0,7.0,7.0,13.0,13.0
