RUL_class,count,mean,std,min,25%,50%,75%,max
Critical,5762.0,2135.9180839986116,62.12405534911455,1255.0,2155.0,2155.0,2155.0,2155.0
Low,5757.0,2105.4559666492964,87.59659424350997,1795.0,2150.0,2155.0,2155.0,2155.0
Healthy,5760.0,2139.9817708333335,56.83217707506699,1255.0,2155.0,2155.0,2155.0,2155.0
