Model,Accuracy,Precision,Recall,F1-score
Logistic Regression,0.9113829256115826,0.3408980363898396,0.26916645781531157,0.2723249409913454
Decision Tree Classifier,0.8821767348976535,0.449660818330197,0.43486665360591414,0.4396400527561793
Random Forest Classifier,0.9161258112830754,0.5152740341419587,0.3007163333291764,0.32505206605940146
Extra Trees Classifier,0.9141288067898152,0.3786303424143964,0.2575953840565222,0.25348165891258617
Gradient Boosting Classifier,0.917373939091363,0.617049007966256,0.4475741992209945,0.5020998758768189
XGBoost Classifier,0.9138791812281578,0.6139047720429454,0.4902328038901197,0.537859904038328
LightGBM Classifier,0.9168746879680479,0.6367398298498147,0.4623340228445166,0.5216152094948397
SVM Classifier,0.9088866699950074,0.33653361751598526,0.2625548668936341,0.2635087880352937
KNN Classifier,0.8936595107338992,0.34864059982977924,0.2844480926943327,0.2973679273952405
Naive Bayes,0.1944583125312032,0.2704229724515181,0.29190640991962813,0.12302637072879015
MLP Classifier,0.9141288067898152,0.3614673415778755,0.2644537011745425,0.2657979451062567
