IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
-1,-1,-1,118.0,0.003755932203389832,0.002175918800838618,0.0018,0.0025,0.003,0.0043,0.0107
-1,-1,1,32.0,0.0027749999999999997,0.0008335698589065104,0.0018,0.0024,0.0024999999999999996,0.003,0.0047
-1,1,-1,252.0,0.0031968253968253967,0.000858279248378436,0.0014,0.0027,0.003,0.0039,0.005
-1,1,1,462.0,0.003278138528138528,0.0008663249218043196,0.0014,0.002725,0.0035,0.0039,0.0049
1,-1,-1,247.0,0.0037882591093117415,0.002932960955265135,0.0017,0.0025,0.0031,0.0037,0.0193
1,-1,1,467.0,0.002988865096359743,0.0011457348584564082,0.0015,0.0023,0.0026,0.0032500000000000003,0.0083
1,1,-1,247.0,0.0027619433198380573,0.0006475791919004422,0.0017,0.0023,0.0027,0.003,0.0059
1,1,1,15454.0,0.0027393102109486214,0.0006742765558738642,0.0013,0.0022,0.0027,0.0031,0.0065
