RUL_class,count,mean,std,min,25%,50%,75%,max
Critical,5762.0,0.0027392398472752518,0.0008029473858967957,0.0013,0.0022,0.0026,0.0032,0.0193
Low,5757.0,0.002723310752127844,0.0007350515973560057,0.0013,0.0022,0.0026,0.0031,0.0107
Healthy,5760.0,0.0029058159722222215,0.0008925202064754226,0.0013,0.0024,0.0028,0.0032,0.0193
