KMeans,count,mean,std,min,25%,50%,75%,max
0,623.0,-0.03589391735531295,0.025896948426165186,-0.074750394,-0.0559644005,-0.042112214,-0.014926607,0.067634633
1,14732.0,0.0037128524019371637,1.089962133940226,-0.074750394,-0.045867756499999995,-0.0090932365,0.023638763,93.44831559878088
2,2148.0,-0.015053925153291143,0.013738283998513758,-0.074750394,-0.023891897250000002,-0.014606517,-0.005434272,0.0128881419942051
