DBSCAN,RUL_class,count
985,Healthy,18
986,Healthy,9
987,Healthy,9
988,Healthy,18
989,Healthy,9
990,Healthy,9
991,Healthy,53
991,Medium,1
992,Healthy,9
993,Healthy,8
993,Medium,1
994,Healthy,8
994,Medium,1
995,Healthy,9
996,Healthy,9
997,Healthy,9
998,Healthy,9
999,Healthy,9
1000,Healthy,9
1001,Healthy,27
1002,Healthy,9
1003,Healthy,9
1004,Healthy,9
1005,Healthy,9
1006,Healthy,9
1007,Healthy,9
1008,Healthy,9
1009,Healthy,18
1010,Healthy,63
1011,Healthy,9
1012,Healthy,9
1013,Healthy,9
1014,Healthy,9
1015,Healthy,6
1016,Healthy,6
1017,Healthy,18
1018,Healthy,18
1019,Healthy,6
1020,Healthy,6
1021,Healthy,6
1022,Healthy,6
1023,Healthy,6
1024,Healthy,12
1025,Healthy,6
1026,Healthy,6
1027,Healthy,6
1028,Healthy,24
1029,Healthy,6
1030,Healthy,6
1031,Healthy,6
1032,Healthy,6
1033,Healthy,12
1033,Critical,1
1034,Healthy,47
1034,Critical,1
1035,Healthy,6
1036,Healthy,6
1037,Healthy,6
1038,Healthy,6
1039,Healthy,6
1040,Healthy,6
1041,Healthy,6
1042,Healthy,6
1043,Healthy,6
1044,Healthy,6
1045,Healthy,122
1045,Medium,12
1045,Low,8
1046,Healthy,9
1047,Healthy,9
1048,Healthy,6
1048,Critical,3
1049,Healthy,6
1049,Critical,3
1050,Healthy,9
1051,Healthy,18
1052,Healthy,18
1053,Healthy,9
1054,Healthy,9
1055,Healthy,9
1056,Healthy,9
1057,Healthy,9
1058,Healthy,9
1059,Healthy,9
1060,Healthy,9
1061,Healthy,9
1062,Healthy,9
1063,Healthy,9
1064,Healthy,9
1065,Healthy,9
1066,Healthy,9
1067,Healthy,9
1068,Healthy,9
1069,Healthy,18
1070,Healthy,9
1071,Healthy,9
1072,Healthy,9
1073,Healthy,9
1073,Medium,1
1074,Healthy,9
1074,Medium,1
1075,Healthy,8
1075,Low,1
1075,Medium,1
1076,Healthy,8
1076,Medium,2
1077,Healthy,9
1077,Medium,1
1078,Healthy,9
1078,Medium,1
1079,Healthy,9
1079,Medium,1
1080,Healthy,9
1080,Medium,1
1081,Healthy,9
1081,Medium,1
1082,Healthy,9
1082,Medium,1
1083,Healthy,10
1084,Healthy,15
1084,Medium,1
1085,Healthy,10
1086,Healthy,9
1086,Medium,1
1087,Healthy,9
1087,Medium,1
1088,Healthy,8
1088,Medium,1
1088,Low,1
1089,Healthy,8
1089,Low,1
1089,Medium,1
1090,Healthy,10
1091,Healthy,10
1092,Healthy,8
1092,Critical,1
1092,Low,1
1093,Healthy,40
1093,Critical,4
1093,Medium,3
1093,Low,3
1094,Healthy,8
