support,itemsets
0.014854596354910586,"frozenset({'High_Total_Cooling_Scaled', 'Critical_RUL', 'High_Impurity_Index_Scaled'})"
0.18682511569445237,"frozenset({'High_Temp_Delta_Scaled', 'High_Resistance_Scaled', 'High_Cooling_Scaled', 'High_Temp_Scaled'})"
0.13066331486030966,"frozenset({'High_Resistance_Scaled', 'High_Total_Cooling_Scaled', 'High_Cooling_Scaled', 'High_Temp_Scaled'})"
0.10186825115694452,"frozenset({'High_Impurity_Index_Scaled', 'High_Resistance_Scaled', 'High_Cooling_Scaled', 'High_Temp_Scaled'})"
0.010683882762954922,"frozenset({'High_Resistance_Scaled', 'Critical_RUL', 'High_Cooling_Scaled', 'High_Temp_Scaled'})"
0.13803347997486146,"frozenset({'High_Temp_Delta_Scaled', 'High_Resistance_Scaled', 'High_Total_Cooling_Scaled', 'High_Temp_Scaled'})"
0.10975261383762784,"frozenset({'High_Temp_Delta_Scaled', 'High_Impurity_Index_Scaled', 'High_Resistance_Scaled', 'High_Temp_Scaled'})"
0.010341084385533909,"frozenset({'High_Temp_Delta_Scaled', 'High_Resistance_Scaled', 'Critical_RUL', 'High_Temp_Scaled'})"
0.07518711078100897,"frozenset({'High_Impurity_Index_Scaled', 'High_Resistance_Scaled', 'High_Total_Cooling_Scaled', 'High_Temp_Scaled'})"
0.24595783579957722,"frozenset({'High_Temp_Delta_Scaled', 'High_Total_Cooling_Scaled', 'High_Cooling_Scaled', 'High_Temp_Scaled'})"
0.19322401873964462,"frozenset({'High_Temp_Delta_Scaled', 'High_Impurity_Index_Scaled', 'High_Cooling_Scaled', 'High_Temp_Scaled'})"
0.015997257612980632,"frozenset({'High_Temp_Delta_Scaled', 'Critical_RUL', 'High_Cooling_Scaled', 'High_Temp_Scaled'})"
0.13797634691195795,"frozenset({'High_Impurity_Index_Scaled', 'High_Total_Cooling_Scaled', 'High_Cooling_Scaled', 'High_Temp_Scaled'})"
0.01136947951779695,"frozenset({'High_Total_Cooling_Scaled', 'Critical_RUL', 'High_Cooling_Scaled', 'High_Temp_Scaled'})"
0.1415757298748786,"frozenset({'High_Temp_Delta_Scaled', 'High_Impurity_Index_Scaled', 'High_Total_Cooling_Scaled', 'High_Temp_Scaled'})"
0.011712277895217962,"frozenset({'High_Temp_Delta_Scaled', 'High_Total_Cooling_Scaled', 'Critical_RUL', 'High_Temp_Scaled'})"
0.28983602810946696,"frozenset({'High_Temp_Delta_Scaled', 'High_Resistance_Scaled', 'High_Total_Cooling_Scaled', 'High_Cooling_Scaled'})"
0.24710049705764725,"frozenset({'High_Temp_Delta_Scaled', 'High_Resistance_Scaled', 'High_Cooling_Scaled', 'High_Impurity_Index_Scaled'})"
0.021881963092041365,"frozenset({'High_Temp_Delta_Scaled', 'High_Resistance_Scaled', 'Critical_RUL', 'High_Cooling_Scaled'})"
0.16957093069759469,"frozenset({'High_Resistance_Scaled', 'High_Total_Cooling_Scaled', 'High_Cooling_Scaled', 'High_Impurity_Index_Scaled'})"
0.01691138661943667,"frozenset({'High_Resistance_Scaled', 'High_Total_Cooling_Scaled', 'Critical_RUL', 'High_Cooling_Scaled'})"
0.013769068159744043,"frozenset({'High_Resistance_Scaled', 'Critical_RUL', 'High_Cooling_Scaled', 'High_Impurity_Index_Scaled'})"
0.1700279952008227,"frozenset({'High_Temp_Delta_Scaled', 'High_Resistance_Scaled', 'High_Total_Cooling_Scaled', 'High_Impurity_Index_Scaled'})"
0.017425584185568187,"frozenset({'High_Temp_Delta_Scaled', 'High_Resistance_Scaled', 'High_Total_Cooling_Scaled', 'Critical_RUL'})"
0.014054733474261555,"frozenset({'High_Temp_Delta_Scaled', 'High_Resistance_Scaled', 'Critical_RUL', 'High_Impurity_Index_Scaled'})"
0.010683882762954922,"frozenset({'High_Resistance_Scaled', 'High_Total_Cooling_Scaled', 'Critical_RUL', 'High_Impurity_Index_Scaled'})"
0.3089756041821402,"frozenset({'High_Temp_Delta_Scaled', 'High_Total_Cooling_Scaled', 'High_Cooling_Scaled', 'High_Impurity_Index_Scaled'})"
0.02433868479689196,"frozenset({'High_Temp_Delta_Scaled', 'High_Total_Cooling_Scaled', 'Critical_RUL', 'High_Cooling_Scaled'})"
0.019939438953322286,"frozenset({'High_Temp_Delta_Scaled', 'Critical_RUL', 'High_Cooling_Scaled', 'High_Impurity_Index_Scaled'})"
0.01468319716620008,"frozenset({'High_Total_Cooling_Scaled', 'Critical_RUL', 'High_Cooling_Scaled', 'High_Impurity_Index_Scaled'})"
0.014854596354910586,"frozenset({'High_Temp_Delta_Scaled', 'High_Total_Cooling_Scaled', 'Critical_RUL', 'High_Impurity_Index_Scaled'})"
0.13066331486030966,"frozenset({'High_Temp_Delta_Scaled', 'High_Total_Cooling_Scaled', 'High_Temp_Scaled', 'High_Resistance_Scaled', 'High_Cooling_Scaled'})"
0.101239787465006,"frozenset({'High_Temp_Delta_Scaled', 'High_Temp_Scaled', 'High_Impurity_Index_Scaled', 'High_Resistance_Scaled', 'High_Cooling_Scaled'})"
0.07490144546649145,"frozenset({'High_Temp_Scaled', 'High_Total_Cooling_Scaled', 'High_Impurity_Index_Scaled', 'High_Resistance_Scaled', 'High_Cooling_Scaled'})"
0.07518711078100897,"frozenset({'High_Temp_Delta_Scaled', 'High_Temp_Scaled', 'High_Total_Cooling_Scaled', 'High_Impurity_Index_Scaled', 'High_Resistance_Scaled'})"
0.13797634691195795,"frozenset({'High_Temp_Delta_Scaled', 'High_Temp_Scaled', 'High_Total_Cooling_Scaled', 'High_Impurity_Index_Scaled', 'High_Cooling_Scaled'})"
0.01136947951779695,"frozenset({'High_Temp_Delta_Scaled', 'Critical_RUL', 'High_Total_Cooling_Scaled', 'High_Temp_Scaled', 'High_Cooling_Scaled'})"
0.16957093069759469,"frozenset({'High_Temp_Delta_Scaled', 'High_Total_Cooling_Scaled', 'High_Impurity_Index_Scaled', 'High_Resistance_Scaled', 'High_Cooling_Scaled'})"
0.01691138661943667,"frozenset({'High_Temp_Delta_Scaled', 'Critical_RUL', 'High_Total_Cooling_Scaled', 'High_Resistance_Scaled', 'High_Cooling_Scaled'})"
0.013769068159744043,"frozenset({'High_Temp_Delta_Scaled', 'Critical_RUL', 'High_Impurity_Index_Scaled', 'High_Resistance_Scaled', 'High_Cooling_Scaled'})"
0.010512483574244415,"frozenset({'Critical_RUL', 'High_Total_Cooling_Scaled', 'High_Impurity_Index_Scaled', 'High_Resistance_Scaled', 'High_Cooling_Scaled'})"
0.010683882762954922,"frozenset({'High_Temp_Delta_Scaled', 'Critical_RUL', 'High_Total_Cooling_Scaled', 'High_Impurity_Index_Scaled', 'High_Resistance_Scaled'})"
0.01468319716620008,"frozenset({'High_Temp_Delta_Scaled', 'Critical_RUL', 'High_Total_Cooling_Scaled', 'High_Impurity_Index_Scaled', 'High_Cooling_Scaled'})"
0.07490144546649145,"frozenset({'High_Temp_Delta_Scaled', 'High_Impurity_Index_Scaled', 'High_Total_Cooling_Scaled', 'High_Temp_Scaled', 'High_Resistance_Scaled', 'High_Cooling_Scaled'})"
0.010512483574244415,"frozenset({'High_Temp_Delta_Scaled', 'Critical_RUL', 'High_Total_Cooling_Scaled', 'High_Impurity_Index_Scaled', 'High_Resistance_Scaled', 'High_Cooling_Scaled'})"
