steel_type,temperature,resistance,casting_speed,cooling,carbon,RUL_class
Arm500,Low,Low,Low,Low,Medium,Healthy
Arm500,Medium,Low,Low,Low,High,Healthy
Arm500,Medium,Low,Low,Low,Medium,Healthy
Arm500,High,Low,Low,Low,Low,Healthy
1018,Low,Low,Low,Low,Medium,Healthy
1018,Low,Low,Low,Low,Medium,Healthy
Arm500,Medium,Low,Low,Low,High,Healthy
1018,Low,Low,Low,Low,Low,Healthy
1018,Low,Low,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,Medium,Healthy
Arm500,Medium,Low,Low,Low,Medium,Healthy
Arm500,Medium,Low,Low,Low,High,Healthy
Arm500,Medium,Low,Low,Low,High,Healthy
Arm500,High,Low,Low,Low,Medium,Healthy
1018,Low,Low,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,Low,Healthy
Arm500,Low,Low,Low,Low,Medium,Healthy
Arm500,Low,Medium,Low,Low,Low,Healthy
1018,Medium,Medium,Low,Low,Low,Healthy
1018,Low,Medium,Low,Low,Low,Healthy
1018,Low,Low,Low,Low,Low,Healthy
Arm500,Low,Low,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,High,Healthy
Arm500,Medium,Low,Low,Low,High,Healthy
Arm500,Medium,Low,Low,Low,Medium,Healthy
Arm500,Medium,Low,Low,Low,Medium,Healthy
1018,Low,Low,Low,Low,Low,Healthy
1018,Medium,Low,Low,Low,Low,Healthy
Arm500,Low,Low,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,High,Healthy
Arm500,Low,Low,Low,Low,Low,Healthy
St3sp,High,Low,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,Medium,Healthy
Arm500,Medium,Low,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,Medium,Healthy
Arm500,Medium,Low,Low,Low,Medium,Healthy
Arm500,Low,Low,Low,Low,Medium,Healthy
Arm500,Medium,Low,Low,Low,Medium,Healthy
Arm500,Low,Medium,Low,Low,Low,Healthy
1018,Low,Medium,Low,Low,Medium,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
1018,Low,Low,Low,Low,Low,Healthy
1018,Low,Low,Low,Low,Low,Healthy
1018,Low,Medium,Low,Low,Low,Healthy
1018,Low,Medium,Low,Low,Low,Healthy
Arm500,Low,Medium,Low,Low,Low,Healthy
Arm500,Low,Low,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,Medium,Medium,Low,Low,Medium,Healthy
1018,Low,Medium,Low,Low,Low,Healthy
1018,Medium,Low,Low,Low,Low,Healthy
1018,Medium,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
1018,Low,Low,Low,Low,Low,Healthy
1018,Medium,Low,Low,Low,Low,Healthy
Arm500,High,Low,Low,Low,Low,Healthy
1018,Medium,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
Arm500,Low,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,Medium,Healthy
Arm500,Medium,Medium,Low,Low,Medium,Healthy
Arm500,Low,Medium,Low,Low,Low,Healthy
Arm500,Low,Medium,Low,Low,Medium,Healthy
Arm500,Low,Low,Low,Low,Low,Healthy
Arm500,Low,Low,Low,Low,Low,Healthy
Arm500,High,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,Medium,Low,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,Medium,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,High,Medium,Low,Low,Low,Healthy
Arm500,High,Medium,Low,Low,Medium,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,Medium,Low,Low,Low,High,Healthy
St3sp,High,Low,Low,Low,Low,Healthy
1018,Low,Medium,Low,Low,Low,Healthy
1018,Low,Medium,Low,Low,Low,Healthy
1018,Low,Medium,Low,Low,Low,Healthy
Arm500,Low,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,Medium,Medium,Low,Low,Medium,Healthy
Arm500,Medium,Medium,Low,Low,Medium,Healthy
Arm500,Low,Medium,Low,Low,Low,Healthy
1018,Low,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,Medium,Healthy
Arm500,Medium,Medium,Low,Low,Medium,Healthy
1018,Low,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,Medium,Healthy
Arm500,Low,Medium,Low,Low,Low,Healthy
Arm500,High,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,Low,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,Medium,Healthy
1018,Low,Medium,Low,Low,Low,Healthy
St3sp,High,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,Medium,Healthy
Arm500,Low,Medium,Low,Low,Medium,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
Arm500,High,Low,Low,Low,Medium,Healthy
Arm500,Medium,Low,Low,Low,High,Healthy
1018,Low,Medium,Low,Low,Low,Healthy
Arm500,High,Low,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
St3sp,High,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,Medium,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,Medium,Low,Low,Low,High,Healthy
Arm500,Medium,Low,Low,Low,Low,Healthy
1018,Low,Medium,Low,Low,Medium,Healthy
1018,Low,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
Arm500,High,Medium,Low,Low,Low,Healthy
1018,Medium,Medium,Low,Low,Low,Healthy
1018,Low,Medium,Low,Low,Low,Healthy
Arm500,High,Medium,Low,Low,Medium,Healthy
Arm500,Medium,Low,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
1018,High,High,Low,Low,Low,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
1018,High,Low,Low,Low,Low,Healthy
1018,Medium,Low,Low,Low,Low,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
1018,High,Low,Low,Low,Low,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
1018,Medium,Medium,Low,Low,Low,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
1018,High,Medium,Low,Low,Low,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
1018,High,Medium,Low,Low,Low,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
1018,Low,Medium,Low,Low,Low,Healthy
25G2S,High,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
1018,Low,Medium,Low,Low,Low,Healthy
25G2S,High,Medium,Low,Low,High,Healthy
1018,Low,Medium,Low,Low,Low,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
1018,High,Medium,Low,Low,Low,Healthy
1018,Low,Medium,Low,Low,Low,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,High,Medium,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
1018,High,Medium,Low,Low,Low,Healthy
1018,Medium,Medium,Low,Low,Low,Healthy
1018,High,Medium,Low,Low,Low,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
1018,High,Low,Low,Low,Low,Healthy
1018,High,Medium,Low,Low,Low,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,High,Low,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
1018,High,Low,Low,Low,Low,Healthy
1018,High,Medium,Low,Low,Low,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,High,Medium,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
1018,High,Medium,Low,Low,Low,Healthy
1018,High,Medium,Low,Low,Low,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,High,Medium,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,High,Low,Low,Low,High,Healthy
1018,Low,Low,Low,Low,Low,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
1018,Low,Low,Low,Low,Low,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
1018,High,Medium,Low,Low,Low,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,High,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,High,Low,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
1018,High,Low,Low,Low,Low,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
1018,Low,Medium,Low,Low,Low,Healthy
1018,Low,Low,Low,Low,Low,Healthy
25G2S,High,Low,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
1018,Low,Medium,Low,Low,Low,Healthy
1018,Low,Low,Low,Low,Low,Healthy
1018,High,Low,Low,Low,Low,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
1018,Medium,Low,Low,Low,Low,Healthy
1018,High,Low,Low,Low,Low,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Low,Low,Low,High,Healthy
1018,High,Medium,Low,Low,Low,Healthy
1018,High,Low,Low,Low,Low,Healthy
1018,Medium,Medium,Low,Low,Low,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
25G2S,Low,Medium,Low,Low,High,Healthy
1018,High,High,Low,Low,Low,Healthy
Arm500,High,Medium,Low,Low,High,Healthy
1018,High,Medium,Low,Low,Low,Healthy
Arm500,High,Low,Low,Low,Medium,Healthy
1018,High,Low,Low,Low,Low,Healthy
Arm500,High,Low,Low,Low,High,Healthy
1018,High,Low,Low,Low,Low,Healthy
1018,High,Low,Low,Low,Low,Healthy
1018,High,Low,Low,Low,Low,Healthy
1018,High,Low,Low,Low,Low,Healthy
1018,High,Low,Low,Low,Low,Healthy
Arm500,High,Low,Low,Low,High,Healthy
Arm500,High,Low,Low,Low,Medium,Healthy
1018,High,Low,Low,Low,Medium,Healthy
Arm500,High,Low,Low,Low,Low,Healthy
1018,High,Low,Low,Low,Low,Healthy
1018,High,Medium,Low,Low,Low,Healthy
Arm500,High,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
1018,High,Low,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,High,Healthy
Arm500,High,Medium,Low,Low,Medium,Healthy
1018,High,Medium,Low,Low,Medium,Healthy
1018,High,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,Medium,Healthy
Arm500,High,Low,Low,Low,Medium,Healthy
1018,High,Low,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,Medium,Healthy
Arm500,Medium,Medium,Low,Low,Medium,Healthy
Arm500,High,Medium,Low,Low,High,Healthy
1018,High,High,Low,Low,Low,Healthy
1018,High,High,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,Medium,Healthy
1018,High,Medium,Low,Low,Low,Healthy
1018,High,High,Low,Low,Low,Healthy
Arm500,High,Medium,Low,Low,Low,Healthy
1018,High,High,Low,Low,Low,Healthy
1018,High,High,Low,Low,Low,Healthy
1018,High,High,Low,Low,Low,Healthy
Arm500,High,High,Low,Low,High,Healthy
1018,High,Low,Low,Low,Low,Healthy
1018,High,Low,Low,Low,Low,Healthy
1018,High,Low,Low,Low,Low,Healthy
1018,High,Low,Low,Low,Low,Healthy
1018,High,High,Low,Low,Low,Healthy
Arm500,High,Medium,Low,Low,High,Healthy
1018,High,High,Low,Low,Low,Healthy
Arm500,High,Medium,Low,Low,Low,Healthy
1018,High,Medium,Low,Low,Medium,Healthy
1018,High,Medium,Low,Low,Medium,Healthy
Arm500,Medium,Low,Low,Low,Medium,Healthy
Arm500,Medium,Low,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,Low,Healthy
1018,High,Medium,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,High,Healthy
1018,High,High,Low,Low,Low,Healthy
1018,High,Medium,Low,Low,Low,Healthy
Arm500,High,Low,Low,Low,Low,Healthy
1018,High,Low,Low,Low,Medium,Healthy
Arm500,High,High,Low,Low,High,Healthy
Arm500,High,High,Low,Low,Low,Healthy
1018,High,High,Low,Low,Low,Healthy
1018,High,High,Low,Low,Low,Healthy
1018,High,High,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
Arm500,High,Medium,Low,Low,Medium,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,Medium,Healthy
1018,High,Medium,Low,Low,Medium,Healthy
Arm500,High,Medium,Low,Low,Medium,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,Medium,Medium,Low,Low,Medium,Healthy
1018,High,Medium,Low,Low,Low,Healthy
1018,High,Medium,Low,Low,Low,Healthy
1018,High,Medium,Low,Low,Low,Healthy
Arm500,High,High,Low,Low,Medium,Healthy
Arm500,High,Medium,Low,Low,Medium,Healthy
1018,High,Low,Low,Low,Low,Healthy
1018,High,Low,Low,Low,Medium,Healthy
1018,High,High,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,High,Healthy
Arm500,High,High,Low,Low,High,Healthy
1018,High,Low,Low,Low,Medium,Healthy
1018,High,High,Low,Low,Medium,Healthy
1018,High,Low,Low,Low,Low,Healthy
1018,High,Low,Low,Low,Low,Healthy
Arm500,High,Low,Low,Low,Low,Healthy
Arm500,High,Low,Low,Low,High,Healthy
1018,High,Low,Low,Low,Low,Healthy
1018,High,High,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,Low,Healthy
Arm500,High,Low,Low,Low,Medium,Healthy
Arm500,Medium,Low,Low,Low,Low,Healthy
Arm500,High,Low,Low,Low,Medium,Healthy
1018,High,High,Low,Low,Medium,Healthy
Arm500,High,High,Low,Low,Medium,Healthy
Arm500,Medium,High,Low,Low,High,Healthy
Arm500,Medium,High,Low,Low,Medium,Healthy
1018,High,High,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,High,Healthy
Arm500,Medium,Low,Low,Low,Low,Healthy
1018,High,High,Low,Low,Low,Healthy
1018,High,High,Low,Low,Medium,Healthy
1018,High,Low,Low,Low,Low,Healthy
Arm500,High,High,Low,Low,Low,Healthy
1018,High,High,Low,Low,Low,Healthy
Arm500,Medium,High,Low,Low,Low,Healthy
Arm500,Medium,High,Low,Low,High,Healthy
Arm500,High,High,Low,Low,Medium,Healthy
Arm500,Medium,High,Low,Low,Low,Healthy
Arm500,Medium,High,Low,Low,Low,Healthy
Arm500,Medium,High,Low,Low,Low,Healthy
1018,High,Low,Low,Low,Medium,Healthy
1018,High,Low,Low,Low,Medium,Healthy
Arm500,High,Low,Low,Low,Low,Healthy
1018,High,Low,Low,Low,Low,Healthy
1018,High,Low,Low,Low,Low,Healthy
1018,High,Low,Low,Low,Low,Healthy
1018,High,Low,Low,Low,Low,Healthy
Arm500,Medium,High,Low,Low,Medium,Healthy
Arm500,High,Low,Low,Low,High,Healthy
1018,High,Low,Low,Low,Low,Healthy
1018,High,High,Low,Low,Low,Healthy
1018,High,High,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,Medium,Healthy
1018,High,High,Low,Low,Low,Healthy
1018,High,High,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,Low,Healthy
Arm500,High,Low,Low,Low,Medium,Healthy
Arm500,Medium,High,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
Arm500,Medium,High,Low,Low,High,Healthy
Arm500,Medium,High,Low,Low,Low,Healthy
1018,High,Medium,Low,Low,Low,Healthy
Arm500,High,High,Low,Low,Medium,Healthy
1018,High,Low,Low,Low,Low,Healthy
1018,High,Medium,Low,Low,Medium,Healthy
1018,High,Medium,Low,Low,Medium,Healthy
Arm500,High,Medium,Low,Low,Low,Healthy
1018,High,Medium,Low,Low,Low,Healthy
Arm500,High,High,Low,Low,Medium,Healthy
1018,High,Medium,Low,Low,Low,Healthy
1018,High,Medium,Low,Low,Low,Healthy
Arm500,Medium,High,Low,Low,Low,Healthy
1018,High,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
Arm500,Medium,High,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,Low,Healthy
St4sp,High,Medium,Medium,Low,Medium,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,Medium,Low,Low,Low,High,Healthy
Arm500,Medium,Low,Low,Low,High,Healthy
Arm500,Medium,High,Low,Low,Low,Healthy
Arm500,Medium,High,Low,Low,High,Healthy
Arm500,Medium,High,Low,Low,Low,Healthy
Arm500,Medium,High,Low,Low,High,Healthy
Arm500,Medium,High,Low,Low,Medium,Healthy
Arm500,Medium,Low,Low,Low,Medium,Healthy
Arm500,Medium,High,Low,Low,Low,Healthy
St4sp,Medium,Low,Medium,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,High,Healthy
St4sp,High,Low,Medium,Low,High,Healthy
Arm500,High,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,Medium,Medium,Low,Low,Medium,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,Medium,High,Low,Low,Low,Healthy
Arm500,Medium,High,Low,Low,High,Healthy
Arm500,Medium,High,Low,Low,Medium,Healthy
Arm500,Medium,High,Low,Low,Low,Healthy
Arm500,Medium,High,Low,Low,Low,Healthy
St4sp,Medium,Medium,Medium,Low,High,Healthy
St4sp,High,Medium,Medium,Low,Medium,Healthy
St4sp,Medium,Medium,Medium,Low,Medium,Healthy
St4sp,Medium,Medium,Medium,Low,Medium,Healthy
Arm500,Medium,Low,Low,Low,Medium,Healthy
Arm500,Medium,Low,Low,Low,High,Healthy
St4sp,Medium,Medium,Medium,Low,Medium,Healthy
St4sp,Medium,Medium,Medium,Low,Medium,Healthy
St4sp,Medium,Medium,Medium,Low,Medium,Healthy
St4sp,High,Medium,Medium,Low,Medium,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
St4sp,Medium,Medium,Medium,Low,High,Healthy
St4sp,Medium,Medium,Medium,Low,Medium,Healthy
St4sp,High,Medium,Medium,Low,Medium,Healthy
Arm500,Medium,High,Low,Low,Low,Healthy
Arm500,Medium,High,Low,Low,Medium,Healthy
Arm500,Medium,High,Low,Low,High,Healthy
Arm500,Medium,High,Low,Low,Medium,Healthy
Arm500,Medium,High,Low,Low,Low,Healthy
Arm500,Medium,High,Low,Low,Low,Healthy
Arm500,Medium,High,Low,Low,High,Healthy
Arm500,Medium,High,Low,Low,High,Healthy
Arm500,Medium,High,Low,Low,High,Healthy
Arm500,Medium,High,Low,Low,Low,Healthy
St4sp,Medium,Medium,Medium,Low,Medium,Healthy
St4sp,High,Medium,Medium,Low,High,Healthy
St4sp,High,Medium,Medium,Low,Medium,Healthy
Arm500,Medium,Medium,Low,Low,Medium,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,Medium,Medium,Low,Low,Medium,Healthy
St4sp,Medium,Low,Medium,Low,High,Healthy
St4sp,High,Low,Medium,Low,Medium,Healthy
St4sp,Medium,Low,Medium,Low,Medium,Healthy
St4sp,Medium,Low,Medium,Low,Medium,Healthy
Arm500,Medium,Medium,Low,Low,Medium,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,Medium,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
St4sp,High,Low,Medium,Low,Medium,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,Medium,High,Low,Low,Low,Healthy
Arm500,Medium,High,Low,Low,High,Healthy
St4sp,Medium,Medium,Medium,Low,High,Healthy
St4sp,Medium,Medium,Medium,Low,Medium,Healthy
St4sp,Medium,Low,Medium,Low,High,Healthy
St4sp,High,Low,Medium,Low,Medium,Healthy
St4sp,Medium,Low,Medium,Low,Medium,Healthy
St4sp,Medium,Low,Medium,Low,Medium,Healthy
Arm500,High,High,Low,Low,Low,Healthy
Arm500,Medium,High,Low,Low,High,Healthy
Arm500,Medium,High,Low,Low,Medium,Healthy
Arm500,Medium,High,Low,Low,High,Healthy
St4sp,Medium,Medium,Medium,Low,Low,Healthy
St4sp,High,Medium,Medium,Low,High,Healthy
Arm500,Medium,Low,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,Low,Healthy
Arm500,High,High,Low,Low,Low,Healthy
Arm500,Medium,High,Low,Low,High,Healthy
Arm500,Medium,High,Low,Low,Medium,Healthy
Arm500,Medium,High,Low,Low,High,Healthy
St4sp,Medium,Medium,Medium,Low,Low,Healthy
St4sp,Medium,Medium,Medium,Low,Low,Healthy
St4sp,High,Medium,Medium,Low,High,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
Arm500,High,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,Medium,Medium,Low,Low,Medium,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,Medium,Medium,Low,Low,Medium,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,High,Medium,Low,Low,Low,Healthy
St4sp,High,Low,Medium,Low,High,Healthy
St4sp,Medium,Low,Medium,Low,Low,Healthy
Arm500,Medium,Medium,Low,Low,High,Healthy
Arm500,Medium,Medium,Low,Low,Low,Healthy
St4sp,Medium,Low,Medium,Low,Medium,Healthy
St4sp,High,Low,Medium,Low,Medium,Healthy
Arm500,Medium,High,Low,Low,High,Healthy
St4sp,High,Medium,Medium,Low,Medium,Healthy
St4sp,Medium,Medium,Medium,Low,Medium,Healthy
St4sp,High,Low,Medium,Low,Medium,Healthy
St4sp,Medium,Low,Medium,Low,Medium,Healthy
Arm500,Medium,High,Low,Low,Medium,Healthy
Arm500,Medium,High,Low,Low,High,Healthy
Arm500,Medium,Low,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,Low,Healthy
Arm500,Medium,High,Low,Low,Low,Healthy
Arm500,Medium,High,Low,Low,Low,Healthy
Arm500,Medium,High,Low,Low,Low,Healthy
Arm500,Medium,High,Low,Low,Low,Healthy
Arm500,Medium,High,Low,Low,High,Healthy
St4sp,Medium,Medium,Medium,Low,Medium,Healthy
St4sp,High,Medium,Medium,Low,Medium,Healthy
Arm500,Medium,Low,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,Low,Healthy
Arm500,Medium,Low,Low,Low,High,Healthy
Arm500,Medium,Low,Low,Low,High,Healthy
