RUL_class,count,mean,std,min,25%,50%,75%,max
Critical,5762.0,0.017054078444984383,0.006853468038513674,0.0017,0.0142,0.0169,0.0201,0.0889
Low,5757.0,0.016829980892826123,0.006367472463735064,0.0017,0.0142,0.017,0.0201,0.0889
Healthy,5760.0,0.017690624999999998,0.00676036981686464,0.0017,0.0147,0.0184,0.0212,0.0889
