IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
-1,-1,-1,118.0,0.0003686440677966103,0.0008810152605508501,0.0,0.0,0.0,0.0,0.003
-1,-1,1,32.0,0.0001,0.00026880860201289883,0.0,0.0,0.0,0.0,0.0008
-1,1,-1,252.0,0.0010309523809523809,0.0017689875685384878,0.0,0.0,0.0,0.0021,0.0068
-1,1,1,462.0,0.001182900432900433,0.0014502561023140572,0.0,0.0,0.0,0.002,0.0053
1,-1,-1,247.0,0.001068825910931174,0.0015741173284983365,0.0,0.0,0.0007,0.0017,0.0078
1,-1,1,467.0,0.0008749464668094218,0.0011880456719281778,0.0,0.0,0.0,0.0016,0.0078
1,1,-1,247.0,0.0010214574898785424,0.0011219471229798573,0.0,0.0,0.0006,0.0019,0.0032
1,1,1,15454.0,0.0009588909020318364,0.0011510102194762749,0.0,0.0,0.0,0.0018,0.0062
