RUL_class,time_temperature_measurement1,count
Critical,4:52:00,8
Critical,12:53:00,8
Critical,23:38:00,8
Critical,22:49:00,8
Critical,11:12:00,8
Critical,18:20:00,8
Critical,21:50:00,8
Critical,13:00:00,8
Critical,8:50:00,8
Critical,1:30:00,8
Critical,13:30:00,8
Critical,19:05:00,8
Critical,23:50:00,8
Critical,5:15:00,8
Critical,9:15:00,8
Critical,17:22:00,8
Critical,20:20:00,8
Critical,2:41:00,8
Critical,1:17:00,8
Critical,19:15:00,7
Critical,9:12:00,7
Critical,15:02:00,7
Critical,20:35:00,7
Critical,3:42:00,7
Critical,23:47:00,7
Critical,5:11:00,7
Critical,9:04:00,7
Critical,14:43:00,7
Critical,5:50:00,7
Critical,12:37:00,7
Critical,6:36:00,7
Critical,10:15:00,7
Critical,21:28:00,7
Critical,22:09:00,7
Critical,0:08:00,7
Critical,0:06:00,7
Critical,7:01:00,7
Critical,0:55:00,7
Critical,18:31:00,7
Critical,4:03:00,7
Critical,9:43:00,7
Critical,4:04:00,7
Critical,9:07:00,7
Critical,20:38:00,7
Critical,21:09:00,7
Critical,10:01:00,7
Critical,21:41:00,7
Critical,23:02:00,7
Critical,0:56:00,7
Critical,23:41:00,7
Critical,11:23:00,7
Critical,2:35:00,7
Critical,16:25:00,7
Critical,0:30:00,7
Critical,11:14:00,7
Critical,14:41:00,7
Critical,8:35:00,7
Critical,2:28:00,7
Critical,17:53:00,7
Critical,9:03:00,7
Critical,20:15:00,7
Critical,1:29:00,6
Critical,6:49:00,6
Critical,3:23:00,6
Critical,10:31:00,6
Critical,4:28:00,6
Critical,9:18:00,6
Critical,10:10:00,6
Critical,6:30:00,6
Critical,20:42:00,6
Critical,19:13:00,6
Critical,7:16:00,6
Critical,16:35:00,6
Critical,19:31:00,6
Critical,13:05:00,6
Critical,9:25:00,6
Critical,18:42:00,6
Critical,14:11:00,6
Critical,1:08:00,6
Critical,1:52:00,6
Critical,4:06:00,6
Critical,5:32:00,6
Critical,12:02:00,6
Critical,14:47:00,6
Critical,16:09:00,6
Critical,13:24:00,6
Critical,9:16:00,6
Critical,3:14:00,6
Critical,18:49:00,6
Critical,15:56:00,6
Critical,3:32:00,6
Critical,1:16:00,6
Critical,2:18:00,6
Critical,15:10:00,6
Critical,14:30:00,6
Critical,7:52:00,6
Critical,21:33:00,6
Critical,4:11:00,6
Critical,21:06:00,6
Critical,23:08:00,6
Critical,10:19:00,6
Critical,20:13:00,6
Critical,14:15:00,6
Critical,18:46:00,6
Critical,18:03:00,6
Critical,22:31:00,6
Critical,5:07:00,6
Critical,15:58:00,6
Critical,9:49:00,6
Critical,7:03:00,6
Critical,7:42:00,6
Critical,19:25:00,6
Critical,11:06:00,6
Critical,23:18:00,6
Critical,8:08:00,6
Critical,19:35:00,6
Critical,4:08:00,6
Critical,17:29:00,6
Critical,22:34:00,6
Critical,4:35:00,6
Critical,7:12:00,5
Critical,4:25:00,5
Critical,21:22:00,5
Critical,20:00:00,5
Critical,15:55:00,5
Critical,0:42:00,5
Critical,13:41:00,5
Critical,10:20:00,5
Critical,13:20:00,5
Critical,1:28:00,5
Critical,8:10:00,5
Critical,8:23:00,5
Critical,1:34:00,5
Critical,5:18:00,5
Critical,19:17:00,5
Critical,19:43:00,5
Critical,17:04:00,5
Critical,7:09:00,5
Critical,7:48:00,5
Critical,12:54:00,5
Critical,16:55:00,5
Critical,4:54:00,5
Critical,7:58:00,5
Critical,17:16:00,5
Critical,18:02:00,5
Critical,19:39:00,5
Critical,1:44:00,5
Critical,0:05:00,5
Critical,6:19:00,5
Critical,5:31:00,5
Critical,19:54:00,5
Critical,22:41:00,5
Critical,8:24:00,5
