RUL_class,count,mean,std,min,25%,50%,75%,max
Critical,5762.0,0.0009725789656369316,0.00034377128668260104,0.0001,0.0008,0.001,0.0012,0.0023
Low,5757.0,0.0010543164842800067,0.00045013804449032635,0.0001,0.0009,0.0011,0.0013,0.015
Healthy,5760.0,0.0010767708333333332,0.000534656203586972,0.0001,0.0008,0.0011,0.0013,0.015
