IsolationForest,LOF,OneClassSVM,time_temperature_measurement2,count
1,-1,-1,6:54:00,6
1,-1,-1,6:11:00,6
1,-1,-1,13:26:00,6
1,-1,-1,19:20:00,6
1,-1,-1,22:30:00,6
1,-1,-1,4:21:00,5
1,-1,-1,23:25:00,5
1,-1,-1,12:27:00,5
1,-1,-1,4:24:00,5
1,-1,-1,18:42:00,5
1,-1,-1,17:35:00,5
1,-1,-1,3:45:00,4
1,-1,-1,19:00:00,4
1,-1,-1,2:50:00,4
1,-1,-1,5:40:00,4
1,-1,-1,13:25:00,3
1,-1,-1,16:57:00,3
1,-1,-1,16:19:00,2
1,-1,-1,15:25:00,2
1,-1,-1,23:15:00,2
1,-1,-1,7:45:00,2
1,-1,-1,22:27:00,1
1,-1,-1,17:15:00,1
1,-1,-1,12:08:00,1
1,-1,-1,21:27:00,1
1,-1,1,21:41:00,14
1,-1,1,18:25:00,13
1,-1,1,12:08:00,11
1,-1,1,12:10:00,11
1,-1,1,22:30:00,10
1,-1,1,12:40:00,9
1,-1,1,8:10:00,9
1,-1,1,22:05:00,9
1,-1,1,19:25:00,9
1,-1,1,10:45:00,9
1,-1,1,10:00:00,9
1,-1,1,23:15:00,8
1,-1,1,15:25:00,8
1,-1,1,22:50:00,8
1,-1,1,23:45:00,8
1,-1,1,3:55:00,7
1,-1,1,18:15:00,7
1,-1,1,23:00:00,7
1,-1,1,3:30:00,7
1,-1,1,7:14:00,7
1,-1,1,8:35:00,7
1,-1,1,21:50:00,7
1,-1,1,8:55:00,7
1,-1,1,18:52:00,6
1,-1,1,19:45:00,6
1,-1,1,16:40:00,6
1,-1,1,7:10:00,6
1,-1,1,14:48:00,6
1,-1,1,7:41:00,6
1,-1,1,10:41:00,6
1,-1,1,9:55:00,6
1,-1,1,9:12:00,6
1,-1,1,20:22:00,6
1,-1,1,5:00:00,6
1,-1,1,11:51:00,6
1,-1,1,16:30:00,6
1,-1,1,14:50:00,6
1,-1,1,12:34:00,6
1,-1,1,19:40:00,6
1,-1,1,4:20:00,6
1,-1,1,0:30:00,5
1,-1,1,19:00:00,5
1,-1,1,7:30:00,5
1,-1,1,1:45:00,5
1,-1,1,2:55:00,5
1,-1,1,18:57:00,5
1,-1,1,1:35:00,5
1,-1,1,1:40:00,5
1,-1,1,18:53:00,5
1,-1,1,18:00:00,5
1,-1,1,15:44:00,4
1,-1,1,20:19:00,4
1,-1,1,2:40:00,4
1,-1,1,4:55:00,4
1,-1,1,21:27:00,4
1,-1,1,21:22:00,4
1,-1,1,0:52:00,4
1,-1,1,10:35:00,4
1,-1,1,16:45:00,4
1,-1,1,4:30:59,4
1,-1,1,3:25:00,4
1,-1,1,3:05:00,3
1,-1,1,11:35:00,3
1,-1,1,2:00:00,3
1,-1,1,21:04:00,3
1,-1,1,13:25:00,3
1,-1,1,2:44:00,3
1,-1,1,13:05:00,3
1,-1,1,10:43:00,3
1,-1,1,7:40:00,2
1,-1,1,18:45:00,2
1,-1,1,3:45:00,2
1,-1,1,1:05:00,2
1,-1,1,2:50:00,2
1,-1,1,9:08:00,2
1,-1,1,6:50:00,2
1,-1,1,23:25:00,2
1,-1,1,22:24:00,2
1,-1,1,22:45:00,2
1,-1,1,16:07:00,2
1,-1,1,18:24:00,2
1,-1,1,9:04:00,2
1,-1,1,13:50:00,2
1,-1,1,3:27:00,1
1,-1,1,11:06:00,1
1,-1,1,4:05:00,1
1,-1,1,5:30:00,1
1,-1,1,18:32:00,1
1,-1,1,10:03:00,1
1,-1,1,23:18:00,1
1,-1,1,1:00:00,1
1,-1,1,12:30:00,1
1,-1,1,21:09:00,1
1,-1,1,7:54:00,1
1,-1,1,19:39:00,1
1,-1,1,17:00:00,1
1,-1,1,15:32:00,1
1,-1,1,11:02:00,1
1,-1,1,7:50:00,1
1,-1,1,21:42:00,1
1,-1,1,0:49:00,1
1,1,-1,15:24:00,12
1,1,-1,7:15:00,12
1,1,-1,10:19:00,12
1,1,-1,12:53:00,11
1,1,-1,8:05:00,9
1,1,-1,9:32:00,9
1,1,-1,10:31:00,9
1,1,-1,9:25:00,8
1,1,-1,15:35:00,8
1,1,-1,1:05:00,8
1,1,-1,6:10:00,8
1,1,-1,11:35:00,8
1,1,-1,10:10:00,7
1,1,-1,22:05:00,7
1,1,-1,6:02:00,6
1,1,-1,11:07:00,6
1,1,-1,19:31:00,6
1,1,-1,3:40:00,6
1,1,-1,22:25:00,6
1,1,-1,8:25:00,6
1,1,-1,4:00:00,6
1,1,-1,6:40:00,6
1,1,-1,15:13:00,5
1,1,-1,11:50:00,5
1,1,-1,17:15:00,5
1,1,-1,21:00:00,5
1,1,-1,21:30:00,5
1,1,-1,19:11:00,4
1,1,-1,7:20:00,3
1,1,-1,10:01:00,3
1,1,-1,15:38:00,3
1,1,-1,21:25:00,3
1,1,-1,9:00:00,3
1,1,-1,5:20:00,2
1,1,-1,8:28:00,2
1,1,-1,8:45:00,2
1,1,-1,18:44:00,2
1,1,-1,9:05:00,2
1,1,-1,22:30:00,2
1,1,-1,7:45:00,2
1,1,-1,2:03:00,1
1,1,-1,22:27:00,1
1,1,-1,20:13:00,1
1,1,-1,19:39:00,1
1,1,-1,8:36:00,1
1,1,-1,2:46:00,1
1,1,-1,12:10:00,1
1,1,-1,20:15:00,1
1,1,-1,11:48:00,1
1,1,-1,4:08:00,1
1,1,-1,23:30:00,1
1,1,-1,15:40:00,1
1,1,-1,8:11:00,1
1,1,1,5:45:00,67
1,1,1,14:05:00,65
1,1,1,18:55:00,65
1,1,1,2:00:00,64
1,1,1,19:40:00,62
1,1,1,17:40:00,62
1,1,1,15:40:00,61
1,1,1,6:25:00,60
1,1,1,16:50:00,57
1,1,1,12:00:00,56
1,1,1,23:40:00,55
1,1,1,4:10:00,54
1,1,1,1:25:00,54
1,1,1,23:25:00,53
1,1,1,5:00:00,53
1,1,1,7:00:00,53
1,1,1,3:40:00,52
1,1,1,22:40:00,52
1,1,1,3:10:00,52
1,1,1,4:45:00,51
1,1,1,2:40:00,50
1,1,1,3:55:00,49
1,1,1,0:35:00,49
1,1,1,19:10:00,48
1,1,1,21:10:00,48
1,1,1,7:20:00,47
1,1,1,21:55:00,46
1,1,1,0:45:00,44
1,1,1,7:40:00,44
1,1,1,10:25:00,44
1,1,1,22:00:00,43
1,1,1,7:30:00,43
1,1,1,11:45:00,43
1,1,1,22:55:00,43
1,1,1,5:55:00,43
1,1,1,2:30:00,43
1,1,1,0:01:00,42
1,1,1,2:45:00,42
1,1,1,6:05:00,41
1,1,1,19:55:00,41
1,1,1,17:50:00,41
1,1,1,20:10:00,41
1,1,1,11:25:00,41
1,1,1,1:10:00,41
1,1,1,10:30:00,40
1,1,1,2:55:00,40
1,1,1,0:00:00,40
1,1,1,14:35:00,40
