IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
-1,-1,-1,118.0,1544.4406779661017,8.664242632286696,1523.0,1540.0,1546.0,1550.0,1563.0
-1,-1,1,32.0,1543.15625,5.106032959220412,1535.0,1540.0,1545.0,1546.0,1550.0
-1,1,-1,252.0,1543.0595238095239,11.458935368189282,1522.0,1534.0,1541.0,1554.0,1561.0
-1,1,1,462.0,1535.8030303030303,9.196230926229367,1523.0,1528.0,1534.0,1542.0,1560.0
1,-1,-1,247.0,1548.6437246963562,46.96801574628645,1530.0,1539.0,1540.0,1544.0,1939.0
1,-1,1,467.0,1542.0620985010707,4.979614913379917,1532.0,1539.0,1542.0,1545.0,1557.0
1,1,-1,247.0,1542.1902834008097,8.467550850100178,1525.0,1536.0,1541.0,1545.0,1564.0
1,1,1,15454.0,1541.0128122169017,4.1584910136471285,1525.0,1538.0,1541.0,1544.0,1564.0
