DBSCAN,count,mean,std,min,25%,50%,75%,max
-1,362.0,0.31469970720838786,0.9388985400741056,-1.985218221,-0.241206201,0.2248659769816656,0.8863877776380982,2.585296038414846
0,33.0,-1.2908936861818183,0.35069309849555513,-1.804803184,-1.564249802,-1.353765593,-1.128246797,-0.632105447
1,9.0,-0.692243792,0.0,-0.692243792,-0.692243792,-0.692243792,-0.692243792,-0.692243792
2,9.0,-2.346048294,0.0,-2.346048294,-2.346048294,-2.346048294,-2.346048294,-2.346048294
3,9.0,0.3902464271457738,0.0,0.3902464271457738,0.3902464271457738,0.3902464271457738,0.3902464271457738,0.3902464271457738
4,9.0,0.6007306364455476,0.0,0.6007306364455476,0.6007306364455476,0.6007306364455476,0.6007306364455476,0.6007306364455476
5,6.0,-0.45169040999999993,6.080941944488117e-17,-0.45169041,-0.45169041,-0.45169041,-0.45169041,-0.45169041
6,6.0,0.19479680422455517,3.0404709722440586e-17,0.1947968042245552,0.1947968042245552,0.1947968042245552,0.1947968042245552,0.1947968042245552
7,6.0,0.4804539454171049,0.0,0.4804539454171049,0.4804539454171049,0.4804539454171049,0.4804539454171049,0.4804539454171049
8,6.0,0.0294163540604471,0.0,0.0294163540604471,0.0294163540604471,0.0294163540604471,0.0294163540604471,0.0294163540604471
9,18.0,0.5907075787470695,0.10287824744733838,0.4503847726599951,0.4503847726599951,0.6458343955812136,0.675903568,0.675903568
10,6.0,-0.135964096,0.0,-0.135964096,-0.135964096,-0.135964096,-0.135964096,-0.135964096
11,6.0,0.6157652228241033,0.0,0.6157652228241033,0.6157652228241033,0.6157652228241033,0.6157652228241033,0.6157652228241033
12,6.0,-0.82755507,0.0,-0.82755507,-0.82755507,-0.82755507,-0.82755507,-0.82755507
13,6.0,-0.135964096,0.0,-0.135964096,-0.135964096,-0.135964096,-0.135964096,-0.135964096
14,6.0,-0.42162123700000004,6.080941944488117e-17,-0.421621237,-0.421621237,-0.421621237,-0.421621237,-0.421621237
15,6.0,0.7661110866096562,0.0,0.7661110866096562,0.7661110866096562,0.7661110866096562,0.7661110866096562,0.7661110866096562
16,6.0,-0.406586651,0.0,-0.406586651,-0.406586651,-0.406586651,-0.406586651,-0.406586651
17,12.0,-1.203419729,0.07851556676326238,-1.278592661,-1.278592661,-1.2034197290000002,-1.128246797,-1.128246797
18,6.0,-1.173350556,0.0,-1.173350556,-1.173350556,-1.173350556,-1.173350556,-1.173350556
19,18.0,-0.29633301746562984,0.4575933739130751,-0.872658829,-0.872658829,-0.226171614,0.2098313906031104,0.2098313906031104
20,12.0,1.6456343897551404,0.33761693660046593,1.3223907826162014,1.3223907826162014,1.6456343897551404,1.9688779968940795,1.9688779968940795
21,6.0,0.4954885317956606,0.0,0.4954885317956606,0.4954885317956606,0.4954885317956606,0.4954885317956606,0.4954885317956606
22,6.0,-0.6922437920000001,1.2161883888976234e-16,-0.692243792,-0.692243792,-0.692243792,-0.692243792,-0.692243792
23,12.0,-0.6321054464999999,0.03140622639196514,-0.662174619,-0.662174619,-0.6321054465,-0.602036274,-0.602036274
24,12.0,-1.0455565720000002,0.07066401029582935,-1.113212211,-1.113212211,-1.045556572,-0.977900933,-0.977900933
25,6.0,0.23990056336022078,3.0404709722440586e-17,0.2399005633602208,0.2399005633602208,0.2399005633602208,0.2399005633602208,0.2399005633602208
26,6.0,-0.12092951,0.0,-0.12092951,-0.12092951,-0.12092951,-0.12092951,-0.12092951
27,6.0,1.532874991915975,2.432376777795247e-16,1.5328749919159752,1.5328749919159752,1.5328749919159752,1.5328749919159752,1.5328749919159752
28,12.0,-0.008170112,0.007851556467433055,-0.015687405,-0.015687405,-0.008170112,-0.000652819,-0.000652819
29,36.0,0.37771760518092123,0.261063064336787,-0.135964096,0.3451426680101082,0.4127983067136068,0.5405922909313268,0.6909381547168792
30,6.0,-0.61707086,0.0,-0.61707086,-0.61707086,-0.61707086,-0.61707086,-0.61707086
31,6.0,0.10458928595322302,1.5202354861220293e-17,0.104589285953223,0.104589285953223,0.104589285953223,0.104589285953223,0.104589285953223
32,6.0,2.510123106522068,0.0,2.510123106522068,2.510123106522068,2.510123106522068,2.510123106522068,2.510123106522068
33,36.0,0.47544241662425396,0.30668871618495885,0.1647276314674443,0.2549351497387765,0.367694547577941,0.6458343955812136,1.051768227802207
34,6.0,0.39024642714577423,6.080941944488117e-17,0.3902464271457743,0.3902464271457743,0.3902464271457743,0.3902464271457743,0.3902464271457743
35,6.0,0.6307998092026584,0.0,0.6307998092026584,0.6307998092026584,0.6307998092026584,0.6307998092026584,0.6307998092026584
36,6.0,0.5556268773098819,0.0,0.5556268773098819,0.5556268773098819,0.5556268773098819,0.5556268773098819,0.5556268773098819
37,6.0,1.247217850723425,0.0,1.247217850723425,1.247217850723425,1.247217850723425,1.247217850723425,1.247217850723425
38,6.0,0.014381767681891899,1.9002943576525366e-18,0.0143817676818919,0.0143817676818919,0.0143817676818919,0.0143817676818919,0.0143817676818919
39,6.0,-0.181067855,0.0,-0.181067855,-0.181067855,-0.181067855,-0.181067855,-0.181067855
40,6.0,0.3000389088744421,0.0,0.3000389088744421,0.3000389088744421,0.3000389088744421,0.3000389088744421,0.3000389088744421
41,12.0,0.12714116555866586,0.1491795765981333,-0.015687405,-0.015687405,0.12714116555866586,0.2699697361173317,0.2699697361173317
42,6.0,-1.338731006,0.0,-1.338731006,-1.338731006,-1.338731006,-1.338731006,-1.338731006
43,6.0,0.2248659769816662,0.0,0.2248659769816662,0.2248659769816662,0.2248659769816662,0.2248659769816662,0.2248659769816662
44,6.0,0.5706614636884372,0.0,0.5706614636884372,0.5706614636884372,0.5706614636884372,0.5706614636884372,0.5706614636884372
45,6.0,0.8713531912595426,0.0,0.8713531912595426,0.8713531912595426,0.8713531912595426,0.8713531912595426,0.8713531912595426
46,6.0,-0.181067855,0.0,-0.181067855,-0.181067855,-0.181067855,-0.181067855,-0.181067855
47,6.0,1.0517682278022067,2.432376777795247e-16,1.051768227802207,1.051768227802207,1.051768227802207,1.051768227802207,1.051768227802207
48,6.0,1.457702060023199,0.0,1.457702060023199,1.457702060023199,1.457702060023199,1.457702060023199,1.457702060023199
49,6.0,4.5548268540055865,0.0,4.5548268540055865,4.5548268540055865,4.5548268540055865,4.5548268540055865,4.5548268540055865
50,6.0,2.5552268656577346,0.0,2.5552268656577346,2.5552268656577346,2.5552268656577346,2.5552268656577346,2.5552268656577346
51,6.0,0.8412840185024323,1.2161883888976234e-16,0.8412840185024322,0.8412840185024322,0.8412840185024322,0.8412840185024322,0.8412840185024322
52,6.0,1.3073561962376468,0.0,1.3073561962376468,1.3073561962376468,1.3073561962376468,1.3073561962376468,1.3073561962376468
53,6.0,2.780745661336065,0.0,2.780745661336065,2.780745661336065,2.780745661336065,2.780745661336065,2.780745661336065
54,6.0,3.5926133257780486,0.0,3.5926133257780486,3.5926133257780486,3.5926133257780486,3.5926133257780486,3.5926133257780486
55,6.0,1.1419757460735378,2.432376777795247e-16,1.141975746073538,1.141975746073538,1.141975746073538,1.141975746073538,1.141975746073538
56,6.0,-0.19610244199999996,3.0404709722440586e-17,-0.196102442,-0.196102442,-0.196102442,-0.196102442,-0.196102442
57,12.0,1.4727366464017537,0.25124981328406737,1.2321832643448691,1.2321832643448691,1.4727366464017537,1.7132900284586383,1.7132900284586383
58,12.0,-0.1134122165,0.10207023668779455,-0.211137028,-0.211137028,-0.11341221650000001,-0.015687405,-0.015687405
59,6.0,0.25493514973877657,6.080941944488117e-17,0.2549351497387765,0.2549351497387765,0.2549351497387765,0.2549351497387765,0.2549351497387765
60,6.0,2.976195284257282,0.0,2.976195284257282,2.976195284257282,2.976195284257282,2.976195284257282,2.976195284257282
61,30.0,1.8546151404170579,0.3675842662178699,1.3223907826162014,1.5779787510516412,1.9087396513798565,2.179362206193853,2.284604310843739
62,6.0,4.434550162977145,9.729507111180987e-16,4.434550162977144,4.434550162977144,4.434550162977144,4.434550162977144,4.434550162977144
63,6.0,-0.135964096,0.0,-0.135964096,-0.135964096,-0.135964096,-0.135964096,-0.135964096
64,6.0,2.224465965329518,0.0,2.224465965329518,2.224465965329518,2.224465965329518,2.224465965329518,2.224465965329518
65,6.0,2.1643276198152974,0.0,2.1643276198152974,2.1643276198152974,2.1643276198152974,2.1643276198152974,2.1643276198152974
66,6.0,2.675503556686177,0.0,2.675503556686177,2.675503556686177,2.675503556686177,2.675503556686177,2.675503556686177
67,6.0,1.788462960351415,0.0,1.788462960351415,1.788462960351415,1.788462960351415,1.788462960351415,1.788462960351415
68,6.0,0.7510765,0.0,0.7510765,0.7510765,0.7510765,0.7510765,0.7510765
69,8.0,1.5178404055374195,0.0,1.5178404055374195,1.5178404055374195,1.5178404055374195,1.5178404055374195,1.5178404055374195
70,8.0,1.788462960351415,0.0,1.788462960351415,1.788462960351415,1.788462960351415,1.788462960351415,1.788462960351415
71,8.0,1.848601305865636,0.0,1.848601305865636,1.848601305865636,1.848601305865636,1.848601305865636,1.848601305865636
72,8.0,0.4052810135243295,0.0,0.4052810135243295,0.4052810135243295,0.4052810135243295,0.4052810135243295,0.4052810135243295
73,8.0,1.5779787510516412,0.0,1.5779787510516412,1.5779787510516412,1.5779787510516412,1.5779787510516412,1.5779787510516412
74,8.0,0.6909381547168797,0.0,0.6909381547168797,0.6909381547168797,0.6909381547168797,0.6909381547168797,0.6909381547168797
75,8.0,0.8112148457453218,0.0,0.8112148457453218,0.8112148457453218,0.8112148457453218,0.8112148457453218,0.8112148457453218
76,8.0,1.6080479238087515,0.0,1.6080479238087515,1.6080479238087515,1.6080479238087515,1.6080479238087515,1.6080479238087515
77,16.0,-0.11341221676627786,0.2872616000335638,-0.391552065,-0.391552065,-0.11341221676627788,0.1647276314674443,0.1647276314674443
78,8.0,2.7206073158218422,0.0,2.7206073158218422,2.7206073158218422,2.7206073158218422,2.7206073158218422,2.7206073158218422
79,8.0,1.3825291281304222,0.0,1.3825291281304222,1.3825291281304222,1.3825291281304222,1.3825291281304222,1.3825291281304222
80,8.0,0.946526123,0.0,0.946526123,0.946526123,0.946526123,0.946526123,0.946526123
81,8.0,1.833566719487081,0.0,1.833566719487081,1.833566719487081,1.833566719487081,1.833566719487081,1.833566719487081
