LOF,count,mean,std,min,25%,50%,75%,max
-1,176.0,0.21384630855328252,1.2432453401385997,-1.985218221,-0.692243792,-0.030721991,0.7210073274739895,3.5775787393994936
1,17327.0,-0.0021721561946016223,0.9970630831714788,-2.496394158,-0.722312965,-0.045756578,0.6007306364455476,4.870553167955248
