RUL_class,count,mean,std,min,25%,50%,75%,max
Critical,674.0,0.02963941912831812,1.0054832413155554,-2.496394158,-0.662174619,0.0143817676818919,0.6007306363341607,2.9912298706358387
Healthy,15380.0,-0.0024348766293139207,1.0050946500646725,-2.496394158,-0.722312965,-0.060791164,0.6157652228241033,4.870553167955248
Low,604.0,0.0900525335384502,0.9160722846205208,-1.879976116,-0.556932515,0.0294163540604471,0.6044892830401865,2.7206073158218422
Medium,845.0,-0.043692658306918875,0.9571839476695531,-2.391152053,-0.737347551,-0.000652819,0.5405922909313268,4.870553167955248
