epoch,learning_rate,train_loss,train_accuracy,val_loss,val_accuracy,val_precision_macro,val_recall_macro,val_f1_macro
1,0.0001,1.9730506052467107,0.4886428421400066,3.4050802715940973,0.6431485889153349,0.6562748970190563,0.5041953618716072,0.5146425059281139
2,0.0001,1.2176297266040408,0.6720376871605606,3.2965813115193545,0.7208432505950357,0.7606872171009665,0.623640095202172,0.6422158530051439
3,0.0001,0.9963087871508418,0.7218471509586821,3.238080616023256,0.7652159129547773,0.7908508177267943,0.6952627761595941,0.7113436962408262
4,0.0001,0.870001647218203,0.7551834848621238,3.1931664544033866,0.7927575654539273,0.8221022357789226,0.748557522158336,0.7627157535809052
5,0.0001,0.7905531351414008,0.7751372760824556,3.160927823756431,0.8095885753145189,0.8348220383314194,0.7718426115090353,0.7865277400910091
6,0.0001,0.7334470594698694,0.790350166531641,3.136984937006987,0.819279156749405,0.8455202249632022,0.7918012624330638,0.8048649039909873
7,0.0001,0.685948237320247,0.7989918084436043,3.125245659094366,0.8158789527371643,0.8414874368007195,0.7863346249468978,0.7980891241284417
8,0.0001,0.652209456882937,0.8120742941158821,3.1043577435794067,0.8376402584155049,0.8517826683654144,0.8126333582318815,0.8239476417368085
9,0.0001,0.6149759794181517,0.8219461697722568,3.092053168081824,0.8388303298197892,0.8667511096852949,0.8166451934242679,0.829663659444143
10,0.0001,0.5893964832449388,0.8264170192336544,3.083439106926631,0.8439306358381503,0.8598815997658681,0.8308043918315476,0.8362652006496523
11,0.0001,0.5703531453877166,0.832478170852462,3.075084094894212,0.8503910234614077,0.8678094054191003,0.8367662757548678,0.8439669505616654
12,0.0001,0.5478818478762995,0.8408197557535931,3.0627824979669906,0.8588915334920095,0.8766848415108692,0.8504752660439552,0.858831265591833
13,0.0001,0.5251728334642785,0.8455006451225733,3.0628119517815677,0.8503910234614077,0.8667757564826717,0.8410333293184189,0.8467620592913931
14,0.0001,0.5168581124446886,0.8473009871875656,3.0538894580521982,0.851921115266916,0.8683283717739548,0.841595173549791,0.8481734997156287
15,0.0001,0.5024076610339494,0.8523719506706274,3.0445745633354564,0.8626317579054743,0.8799096163059587,0.8543952395875742,0.8614037876231717
