IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
-1,-1,-1,118.0,0.2815635593220338,0.18401147523918604,0.138,0.1735,0.1846,0.2223,0.6786
-1,-1,1,32.0,0.25294062500000003,0.1639601915874802,0.154,0.1786,0.1995,0.2019,0.6786
-1,1,-1,252.0,0.3281246031746032,0.2074988287535736,0.1667,0.178,0.1887,0.6169,0.6597
-1,1,1,462.0,0.46332922077922084,0.20533186130206127,0.1615,0.1881,0.5788,0.6307,0.6582
1,-1,-1,247.0,0.17104898785425107,0.026023299226461145,0.1041,0.1501,0.1776,0.1914,0.2088
1,-1,1,467.0,0.1730265524625268,0.018702908288079897,0.134,0.15475,0.1785,0.18719999999999998,0.2139
1,1,-1,247.0,0.1787481781376518,0.02182825764996324,0.1398,0.15810000000000002,0.1826,0.19095,0.2587
1,1,1,15454.0,0.17558828782192312,0.021675950999902986,0.1245,0.1554,0.1811,0.1913,0.2602
