PCA_x,PCA_y,tSNE_x,tSNE_y,UMAP_x,UMAP_y
5.123199843410147,-1.1036311255474252,96.60752,-15.702923,8.075693,9.709637
5.323368956275859,3.276446981919033,75.57327,12.534254,-0.6784835,-4.1293764
4.9295030387812995,2.0439874746528055,78.64313,8.880431,-0.62515473,-4.056123
5.256186640684658,4.004978538279762,79.72056,6.8430257,-0.5815348,-4.027324
5.617258519152546,2.5340810924501698,80.13298,7.314771,-0.5621261,-4.0130963
5.744467853574354,2.1348754178827933,80.255684,7.9374905,-0.60266024,-4.0421615
4.7908153629871215,1.8127217757831182,80.71261,12.057752,-0.349673,-3.8459651
2.3265080229074337,-6.517803423346907,69.18428,-81.29687,-10.585977,7.1854515
5.45656542259532,2.1919560703614045,80.189735,8.172998,-0.58945155,-4.0377903
5.78979471832672,2.770787091230467,80.01792,7.670407,-0.5845206,-4.0347238
5.803016816066438,3.3429170704214317,79.26313,7.3079305,-0.5740504,-4.0387793
5.595269293629947,2.434381670785778,79.93883,7.8169537,-0.57092047,-4.0235944
5.7982261054880375,2.6340193106635827,80.106316,7.8082066,-0.58367103,-4.0348945
5.274297112453459,3.27040909097604,79.980705,7.485228,-0.57471424,-4.025106
5.7399952217451835,2.860373050062998,79.84193,7.7378263,-0.59345263,-4.0406237
4.173039292494586,-2.5824833669637064,76.54335,-81.15779,-13.100461,2.3566895
3.5163568454966936,-0.9600073903710828,66.40638,-3.32379,-2.2755213,-5.010474
3.6882775184644494,0.19293800695619745,75.7247,7.6916704,-0.9739563,-4.174791
4.777999790076606,1.1891730217388379,78.54284,8.932788,-0.63592297,-4.072032
5.65201748584559,2.8595267737331818,79.7847,7.7374716,-0.5840346,-4.0361595
5.875133993117213,2.7171218427256405,79.65364,7.131172,-0.5665464,-4.041823
5.644326426225886,2.460340129461001,80.196785,7.797389,-0.59887,-4.046651
5.8472979679243515,2.6400570801055667,76.48184,12.283627,-0.67998564,-4.1294074
5.644341156066261,2.4404194402277626,76.21172,12.025655,-0.69354564,-4.137521
5.852088678502753,3.348954839863416,74.80644,11.207238,-0.6772984,-4.1323175
5.420877069504533,2.122727878324867,81.055336,11.748173,-0.30392683,-3.8153358
5.8388665621491205,2.7768249821734603,75.90421,12.413852,-0.6869992,-4.133443
5.676311439978287,2.459536605725015,76.31654,12.89368,-0.6885467,-4.134105
5.684002443756249,2.858723614500223,75.83672,11.673615,-0.68793267,-4.1302357
3.565428707933008,-0.9539696209290982,66.41822,-3.3233755,-2.106296,-5.0642066
3.7373493436729364,0.19897601940020032,75.68463,7.747376,-0.88144034,-4.166899
4.82707159667118,1.19521115568385,77.379715,9.952613,-0.7065678,-4.126302
5.701089366895818,2.865564421674157,75.829155,11.689921,-0.6944729,-4.1350946
5.924205930009183,2.7231591261635884,74.57418,12.185827,-0.6987376,-4.144633
5.693398363117856,2.466377412898949,76.299614,12.886806,-0.6873568,-4.133688
5.452861804048227,2.1219261771040174,81.07742,11.742493,-0.3505099,-3.8457208
5.155184615181668,-1.1044330697702924,96.58819,-15.70643,8.077306,9.668667
4.961487773324993,2.0431857734319565,77.35988,10.064492,-0.6858399,-4.1019797
5.288171412456179,4.004176594056894,74.08908,12.803484,-0.67922384,-4.1322823
5.649243365379723,2.5332786622232657,75.329185,13.238614,-0.6861289,-4.138092
5.7764527370293575,2.134072744653871,76.65049,12.869854,-0.6835887,-4.1284566
4.822800097530815,1.8119200745622692,80.60564,12.17379,-0.33056062,-3.8478596
2.3584927574511267,-6.518605124567755,69.18438,-81.29756,0.044491842,12.515866
5.488550175752927,2.1911542476395467,77.28583,12.093369,-0.68523633,-4.126458
5.821779601781724,2.7699844180015445,75.91253,12.405202,-0.6879456,-4.132256
5.835001718135356,3.3421142756915003,74.80312,11.185074,-0.6832204,-4.131477
5.627254102629296,2.4335794835608926,76.227135,12.009234,-0.69824153,-4.145007
5.830210914487386,2.6332171234386967,76.50234,12.273969,-0.6823436,-4.1309376
5.306281921452807,3.269606903751154,75.57726,12.5314865,-0.6882563,-4.136932
5.771980067972359,2.8595706198360937,75.855774,11.881,-0.82187057,-4.2590156
4.205024027038281,-2.583285068184555,76.54119,-81.15798,-13.086657,2.3658478
3.548341580040387,-0.9608090915919318,66.415924,-3.321152,-2.1489046,-5.0615935
3.720262253008143,0.1921363057353484,75.68366,7.734529,-0.9197534,-4.151762
4.8099845246203,1.1883713205179889,77.43374,9.90144,-0.69577557,-4.119243
5.9071189882557,2.7163184404906637,74.56589,12.178573,-0.70730615,-4.1486297
5.505637229189893,2.1979942043064167,77.264145,12.101323,-0.6871812,-4.129963
5.789067084181498,2.8664108195049818,75.845184,11.898058,-0.7022781,-4.147338
4.839888342258262,1.8187522551645552,80.57783,12.1961975,-0.33880842,-3.84149
5.793539716010668,2.1409131873247778,76.628716,12.859567,-0.68913835,-4.129796
5.666330381588861,2.540118861892154,75.334076,13.21832,-0.68406135,-4.133885
5.305258503120972,4.0110163077217456,74.10063,12.801788,-0.6822252,-4.1376104
4.978574863989786,2.050025487096808,77.31727,10.104546,-0.6089742,-4.0408006
5.469950011547846,2.1287586007083217,81.07681,11.741224,-0.3428309,-3.8521261
5.172271705846461,-1.0975933561054403,96.58432,-15.708728,8.070043,9.710775
1.954656428126545,-3.046003478595088,57.35308,-55.443417,-14.065106,-1.9859164
2.6606315164185617,-3.622487782405332,57.244953,-54.231754,-14.065092,-1.9863917
2.6353510280573706,-3.6437003899858933,56.95369,-54.25545,-14.067865,-1.989074
1.60910531962877,-1.164781580414446,65.94507,-60.032524,4.108426,17.239819
1.9998389691422265,-1.7877408729801625,67.95905,-56.078884,1.4008657,-10.802108
2.048862055786041,-1.7763423130315703,67.65561,-55.553925,1.4017253,-10.801542
1.6581284062725843,-1.1533830204658537,65.70424,-59.842552,4.1081614,17.23904
2.684374114701185,-3.632301830037301,57.3005,-54.229225,-14.064937,-1.9864408
1.6343856963064776,-1.1435682438278303,65.75791,-59.863766,4.109231,17.23861
2.066022969232852,-1.7699844723689173,67.615616,-55.40389,1.4017256,-10.799451
1.6752893755611369,-1.1470255443062278,65.6149,-59.791157,4.113823,17.232878
1.995560107381204,-3.049460779073486,57.537857,-55.43324,-14.064319,-1.9855229
2.7015351956732205,-3.6259450828837303,57.41793,-54.213825,-14.064964,-1.9864174
2.6104620418712075,-3.6602639575462383,56.780773,-54.24367,-14.066465,-1.9874448
1.9044870094209323,-3.0837800182390214,56.83095,-55.51588,-14.064536,-1.9863849
1.5842163334426065,-1.181345147974791,66.04096,-60.15109,4.1121554,17.236128
1.9749499829560635,-1.8043044405405075,68.12371,-56.219196,1.3988554,-10.824411
1.97839908225091,-3.055817890730084,57.415073,-55.435566,-14.064349,-1.9860356
2.025119289978193,-1.7665271718905198,67.680695,-55.664795,1.4012531,-10.802066
1.9293759956070955,-3.0672164506786763,57.019943,-55.47361,-14.065169,-1.9865143
1.5962363879278523,-1.172842166538923,65.997406,-60.09621,4.1158123,17.233032
2.6460113991018086,-3.6297247638480625,57.13998,-54.24258,-14.066266,-1.9872975
1.9400363666515337,-3.0532408245408456,57.23378,-55.45207,-14.064545,-1.9860557
1.6197656906732079,-1.150805954276615,65.83023,-59.91806,4.109204,17.23917
2.0104993401866644,-1.7737652468423315,67.754395,-55.8241,1.4021674,-10.801715
2.6468067842026293,-3.6370225360044106,57.058693,-54.25081,-14.066524,-1.9874527
1.9408317517523543,-3.0605385966971936,57.137177,-55.458027,-14.064922,-1.9862959
2.0112947252874855,-1.7810630189986807,67.84621,-55.943134,1.4021317,-10.802089
2.0168730958839216,-1.7755130310816494,68.14927,-56.120644,1.4015067,-10.803072
1.9869700374413095,-1.7958014591046398,68.05551,-56.16865,1.4017044,-10.803168
1.6261394463704648,-1.1525537385159328,65.987076,-60.158215,4.105979,17.243954
1.9464101223487904,-3.054988608780163,56.8569,-55.51538,-14.064775,-1.9862865
2.652385154799066,-3.63147254808738,56.804058,-54.240967,-14.066938,-1.9877514
1.6205610757740287,-1.1581037264329639,65.88416,-59.970825,4.1098514,17.2377
1.9165071197479193,-3.0752774013061805,56.914406,-55.491882,-14.064928,-1.9863695
2.6224821521981942,-3.6517613406133975,56.85773,-54.251747,-14.0678425,-1.9884169
-2.427411004540984,2.030064379086068,-103.97568,7.560759,0.99480283,16.71602
-3.0346385037066033,3.116482509320256,-105.07921,9.918797,1.046558,16.770824
-2.402505954547235,2.0465230912755366,-103.943985,7.5691338,0.9776465,16.700754
-2.5226788219573795,3.4352434753126517,-104.560005,11.083085,1.0295957,16.755411
-2.422680971825623,2.6749583056033472,-102.92793,9.414265,1.034202,16.761063
-2.204175795584948,2.573474812840796,-101.687515,9.811901,1.0262299,16.743237
0.18302350839262851,-2.2887437233292975,43.62619,-40.002304,7.3363714,-5.078004
-2.7304617607361563,2.4663574171418383,-97.82895,12.661486,5.6431165,-2.3080375
-0.6501716552032492,-1.13028623560889,-14.679678,-50.686466,3.3544743,-0.6549001
-2.252121477283291,2.650297456833724,-100.76082,10.407495,1.0246778,16.738487
-2.926798811379382,3.653624038066005,-102.78756,12.128637,1.0587925,16.784698
-3.6767497084625584,1.6913059274561724,-94.41078,18.158466,-4.5877347,-10.017525
-3.464281047076313,3.9961440290900834,-97.80842,13.962921,5.643577,-2.3086708
-3.7016550376650135,1.674849037781841,-94.410706,18.156012,-4.588497,-10.0193615
-2.3474684271197663,2.700917757348933,-100.89579,11.485403,1.0244505,16.738
-0.1494247013141182,-2.511753058186632,-13.821202,-56.320362,3.361869,-0.49209276
-0.2759815948314418,-1.5143777968497267,-16.79834,-51.59679,3.3422103,-0.66682714
-0.6239519014155196,-1.9394540014231556,-18.284212,-53.685776,3.319015,-0.7096664
-2.447586375483733,2.6585019019330525,-102.96451,9.490041,1.0193257,16.740038
-2.229081180629144,2.5570182876694925,-101.7458,9.905869,1.0277228,16.723682
-2.9517041405818367,3.637167148391674,-102.78863,12.136792,1.0655534,16.791637
0.1993313758049501,-1.4264067075690776,44.714928,-43.876392,7.2557154,-5.139136
0.5075025715074145,-1.3969786934577995,46.42933,-46.1674,7.1620755,-5.204356
0.4971945336487066,-1.729833056901611,47.20916,-46.9316,7.127664,-5.2352376
0.7370417561831598,-1.9615230873369753,45.630573,-44.623318,7.222921,-5.1660323
-2.547584207001576,3.4187869501413477,-104.56171,11.098411,1.0517516,16.776104
0.3018316264401057,-0.8918652733294448,44.974663,-46.135544,7.1331496,-5.217766
-0.3231536326045206,-2.5784629478104777,-9.598653,-54.283463,3.508164,-0.4438332
-2.6178356544826347,-1.9431494311604083,14.457359,31.585644,8.916872,-5.1219554
-0.6394820255770197,-2.4808094393058213,-11.958113,-53.209465,3.4789796,-0.48437056
-0.1960641406240401,-1.6223058469819946,-14.932957,-51.691734,3.3525717,-0.6635899
-0.7561357287479022,-1.5169127554677062,-14.73239,-53.03312,3.3591554,-0.6788722
-0.3450123697390193,-2.1985218076101347,-12.452387,-52.943558,3.4736164,-0.49154276
-0.48038593795506174,-1.29938167231325,-17.188658,-51.01905,3.3352854,-0.6771029
-0.73931775479215,-0.4090253187554609,-20.856842,-38.260544,-2.0270708,4.6035876
-0.6319004403665078,-0.8769983950174007,-16.386568,-48.86784,3.3705876,-0.6438797
0.17442593491901273,-1.442862868237354,44.637768,-43.97489,7.3023105,-5.0979514
-3.0595439632064543,3.1000264701529887,-105.084816,9.900142,1.0426834,16.768068
-0.1380756773504248,-2.5043785174188136,-13.822652,-56.328415,3.3594272,-0.4930685
-0.2646325708677484,-1.5070032560819089,-16.658693,-51.483913,3.330421,-0.69093955
-0.6126028774518263,-1.9320794606553378,-18.278093,-53.69284,3.3215344,-0.70777094
-0.4690369698331096,-1.292006767042405,-17.052277,-50.92569,3.3328116,-0.6792784
-0.3336634016170672,-2.191146902339289,-12.359019,-52.749516,3.4695542,-0.4978178
-0.744786779239864,-1.509537728695852,-14.802945,-53.03835,3.3558164,-0.6799345
-0.18471511666034665,-1.6149313062141768,-15.05725,-51.664845,3.34474,-0.6795094
-0.6281329457715851,-2.4734352630410306,-11.868792,-53.03149,3.5004065,-0.46776316
-0.6205513605610732,-0.8696242187526102,-16.35652,-48.891167,3.3387053,-0.67807585
-0.31180449695734463,-2.571089136048714,-9.596946,-54.243988,3.5210264,-0.42927894
-0.6388226870812972,-1.122911330338045,-14.787703,-50.656555,3.3665237,-0.641611
-0.7279686936006292,-0.40165102098966127,-20.862238,-38.263535,-2.0356932,4.588209
0.7483908359885945,-1.9541489110721848,45.652897,-44.590183,7.2042584,-5.1796193
0.5085435948402274,-1.7224587591358114,47.218937,-46.9266,7.1577067,-5.2050486
0.5188515954711078,-1.3896041526899816,46.447884,-46.152615,7.149411,-5.214977
0.21068038115472976,-1.4190320453002507,44.732697,-43.827286,7.3064,-5.087679
-2.6064865746772,-1.935775254895618,14.457315,31.585688,8.914366,-5.1218586
0.19437258819806325,-2.2813695470645063,43.571434,-40.0818,7.281689,-5.1284776
-0.7642231956780875,-0.42548147942373743,-20.858135,-38.254734,-2.038972,4.5983396
0.27692618555416837,-0.9083214339977213,44.942387,-46.14909,7.1432624,-5.212059
0.7121363711389638,-1.9779796125082791,45.588303,-44.697887,7.218232,-5.1667933
0.47228914860451043,-1.7462895820729147,47.208595,-46.960606,7.1215773,-5.2424235
0.3131807062455404,-0.8844910970646542,44.979195,-46.13631,7.130411,-5.222465
0.17009141968228414,-2.2963920565298053,43.670704,-39.93327,7.353754,-5.0548396
-3.0232895355846514,3.123857414591102,-105.087944,9.920936,1.1063577,16.830976
-2.5113298538354276,3.4426183805834976,-104.56411,11.083586,1.0640864,16.790838
-0.6750770960891866,-1.1467423962771666,-14.492027,-50.714447,3.362475,-0.6386153
-0.17433008635831423,-2.5282095833579357,-13.819035,-56.318466,3.3709006,-0.4553203
-0.3008869798756379,-1.5308343220210305,-17.031216,-51.768772,3.3408918,-0.66191846
-0.6488572864597157,-1.9559105265944594,-18.306095,-53.67775,3.3316908,-0.692817
-0.5052913974549129,-1.3158377114805175,-17.425741,-51.159412,3.3603644,-0.650577
-0.36991786646669794,-2.214977603775384,-12.569834,-53.2385,3.4722219,-0.4933748
-0.7810412254755811,-1.5333685516329554,-14.618897,-53.047455,3.3776348,-0.6545541
-0.22096958150997742,-1.6387620076502711,-14.718937,-51.738804,3.3262649,-0.69262546
-0.6643874664629571,-2.497265599974098,-12.083883,-53.471996,3.5163274,-0.45108476
-0.6568058812524452,-0.8934545556856772,-16.450338,-48.807426,3.3731887,-0.636962
-2.3911566513748355,2.053895809528218,-103.93633,7.5625906,0.991511,16.717001
