IsolationForest,LOF,OneClassSVM
-0.007785135426344736,-1.5468246183343315,-3.861874996632803
0.02288875812978569,-0.998951179864277,8.987302684604117
0.021275709357954364,-1.1443653892419579,10.729937431732878
0.01050165781354706,-1.1892036405535777,3.065172821307847
0.022032717434986304,-1.1901453283499934,6.4181948108681794
0.037396753747467704,-1.196476894562339,8.087404918099907
0.039070962244891816,-1.5848743580825326,10.012196602030976
-0.053171730233327774,-2.160594446178935,-28.203703161046008
0.024528629790641576,-1.238660620131847,10.883905766548367
0.03254815576721776,-1.1945267809021836,9.806288599807253
0.008921886918991151,-1.2141608603679204,3.7398832905682653
0.043218788518012474,-1.162251796880862,10.511468742761686
0.03181476136583844,-1.1234394124556093,9.32499494504792
0.030421981359113837,-1.182523812571495,9.640641215367921
0.02973790869374554,-1.1725056078224037,8.843677716625436
-0.06321868801468,-1.5274389884310597,-18.58317493857468
-0.0007604748542833217,-1.9191778741978216,-6.738541073102663
0.03803270719931323,-1.6019686109933537,6.480604201863784
0.03116614723849126,-1.2628137810815698,7.307458130906554
0.04256510106383221,-1.180827188087529,10.13152778501329
0.04420125855476925,-1.1277991224776749,7.278273189621764
0.035395057752452996,-1.200583859342664,9.039748386383643
0.023844097834333666,-1.0034898056730739,8.682138184315995
0.0372901651470679,-0.9945619171402305,9.849696690477089
0.00015575299219250383,-1.1356159109560173,3.1680203256649477
0.005155878389572877,-1.5094514013019915,3.5331519820223036
0.025635396020772916,-1.0018047893108928,9.189980225747384
0.036392598930846565,-1.003626895629606,11.01248475041109
0.047952829557232124,-1.0063986889314855,12.164630781934932
-0.004936546480818205,-1.8378083150093123,-6.863312896589861
0.03427526440032458,-1.6301094580701558,5.768763677012579
0.025561529893092405,-1.2753959377195627,6.67459430633739
0.036236986218701916,-1.0038622482055066,9.48398349339621
0.03331526770726967,-1.0151208586270364,6.6488174747155995
0.026570390712491232,-0.9924946265394752,8.40901534914424
0.0009233245648084809,-1.504107740745305,5.208789777943693
-0.008127918819613056,-1.515757174577285,-2.503513181109472
0.017145340193352676,-1.186467138244946,12.726380141805521
0.00769244162616145,-1.1437592621345716,4.715905730762813
0.018984159940300727,-1.0363268651753288,8.270080666516641
0.02934744151213714,-1.0109123708661465,9.994408774097195
0.0318274842983724,-1.538083702114726,11.998939534031763
-0.0571174925015403,-1.9757106669982192,-28.177653874208815
0.025798160536799508,-1.0158537377575374,12.93016521344967
0.03251803982155094,-0.9980493590981354,11.843252841175904
0.010271173017116608,-1.1330315849038475,5.422815434305605
0.04395265419282002,-0.9927798456353203,12.539699231704375
0.03199447048077553,-1.000423681489083,11.299467577979215
0.031147535308835683,-0.9960073580860975,11.636072440871743
0.029706034277553917,-0.9953843922517486,10.841975455159208
-0.0677446697158608,-1.5112366618479627,-17.913842876116938
-0.0023411449611506763,-1.6733070094895133,-5.41107514644445
0.04034825393581065,-1.6373979915229644,8.150322938539908
0.0302810562630757,-1.258113216158573,9.135791640006317
0.04313923905644512,-1.016475534017455,9.141569812146471
0.02101485777976453,-1.0226075109954604,10.216354125277626
0.02037941877207128,-1.0009908198494428,8.25639686961344
0.024236192155271175,-1.5336992053712744,9.338987646765347
0.023662844217900603,-1.0055987795602677,7.458349455412822
0.014449141582130898,-1.0388843819121578,5.8426275257644775
0.0009567218917763132,-1.1266085544923814,2.5015862343349156
0.012365573824201281,-1.1878993222602081,10.037988173790922
