Fold,Accuracy,Precision,Recall,F1_Score
1,0.8974,0.8897606904668497,0.9072,0.8983957219251337
2,0.8932,0.8594149908592322,0.9402,0.8979942693409743
3,0.8895,0.892245720040282,0.886,0.8891118916206724
4,0.8919,0.8783548947673296,0.9098,0.89380096276648
5,0.8893,0.8914136336215565,0.8866,0.889000300812193
