Fold,Accuracy,Precision,Recall,F1_Score
1,0.8747,0.8665623165720994,0.8858,0.876075561269904
2,0.8789,0.8679355214604778,0.8938,0.8806778993004237
3,0.8739,0.8654936461388074,0.8854,0.8753336628769155
4,0.8741,0.865832192450616,0.8854,0.8755067734599031
5,0.8718,0.8564033742331288,0.8934,0.87451057165231
