IsolationForest,LOF,OneClassSVM,count,mean,std,min,25%,50%,75%,max
-1,-1,-1,118.0,181.09322033898306,12.007111345952977,150.0,180.0,180.0,180.0,200.0
-1,-1,1,32.0,177.34375,12.762367499549148,165.0,165.0,182.5,185.0,200.0
-1,1,-1,252.0,181.82539682539684,13.685470449916133,160.0,165.0,180.0,200.0,200.0
-1,1,1,462.0,186.8939393939394,13.584139902794915,165.0,180.0,185.0,200.0,200.0
1,-1,-1,247.0,196.1740890688259,9.827684922458795,165.0,200.0,200.0,200.0,220.0
1,-1,1,467.0,191.18843683083512,12.547370974300124,165.0,180.0,200.0,200.0,200.0
1,1,-1,247.0,192.28744939271255,13.233763036958287,165.0,180.0,200.0,200.0,220.0
1,1,1,15454.0,193.8381648764074,11.542561056440702,165.0,190.0,200.0,200.0,220.0
